state,land_area_sqmi,establishments_mean,mean_spending_2017,spending_per_estab,operations,h2a_workers,workers_per_operation,spending_per_operation,land_area_sqmi_z,establishments_mean_z,spending_per_estab_z,operations_z,h2a_workers_z,workers_per_operation_z,spending_per_operation_z
Alabama,52420,120.0,576913.8324467405,4807.615270389504,40592.0,32,0.0007883326763894,14.212500799338304,-0.24180886641492164,-0.44625348111027685,-0.028761288370291762,-0.006420180491720124,-0.5041758416262554,-0.6175162258753083,-0.11156654007277798
Alaska,663268,3.5,323025.83605790284,92293.09601654367,990.0,22,0.0222222222222222,326.28872329081094,6.051311125124664,-0.8646048977783969,6.2428832023050616,-1.013757691716359,-0.5056998786789562,-0.4815811667020741,6.394073744333531
Arizona,113990,84.16666666666667,236232.8970213091,2806.727489362088,19086.0,2108,0.1104474483914911,12.37728686059463,0.39250179332218527,-0.5749309554788689,-0.17220059648533426,-0.5534582219137969,-0.1877857494855771,0.0779486990391263,-0.1498239940853824
Arkansas,53179,152.5,527405.1245324987,3458.3942592294993,42625.0,2990,0.0701466275659824,12.37314075149557,-0.23398944476898265,-0.32954600435736786,-0.12548401823557917,0.0452922875735213,-0.05336568143736987,-0.17764161049993413,-0.149910425195587
California,163696,530.6666666666666,986750.6347661457,1859.4547137553,70521.0,10509,0.1490194410175692,13.992294986828686,0.9045863418505699,1.0284502251418655,-0.2401085285631062,0.7548697637899379,1.0925577784883334,0.3225746727264307,-0.11615702054349741
Colorado,104094,134.0,154796.02936214238,1155.1942489712117,38893.0,1225,0.0314966703519913,3.9800485784625095,0.2905505461440399,-0.3959794911244084,-0.29059543480506284,-0.04963684711387713,-0.32235822123905444,-0.42276204044767174,-0.3248754965992924
Connecticut,5543,47.666666666666664,11106.676055281721,233.0071899709452,5521.0,1,0.0001811266074986,2.011714554479573,-0.7247482978993517,-0.7060024293705974,-0.3567050262323852,-0.8985047685468515,-0.5089003564896277,-0.6213671644895304,-0.3659080142879505
Delaware,2489,27.333333333333332,102970.82893483293,3767.225448835351,2302.0,23,0.0099913119026933,44.73102907681709,-0.7562114253126557,-0.7790194148262636,-0.10334457964164541,-0.9803849626944227,-0.505547474973686,-0.5591503598469987,0.5246324160594348
Florida,65758,1549.3333333333333,131261.41997850587,84.72122632003392,47590.0,33652,0.7071233452405967,2.7581723046544626,-0.10439721171988295,4.686481496494583,-0.36733532555798626,0.1715846653127853,4.619636729553707,3.862104307940039,-0.35034711839086646
Georgia,59425,422.8333333333333,54758.58468295849,129.5039448552428,42439.0,28064,0.6612785409646788,1.2902892312014536,-0.16964147691584036,0.6412208022745215,-0.3641249495323489,0.040561092757911414,3.7680048245045215,3.5713537109144107,-0.3809470762448006
Hawaii,10932,14.666666666666666,0.0,0.0,7328.0,60,0.0081877729257641,0.0,-0.6692293739863541,-0.824505405765859,-0.37340880664035037,-0.8525409565478888,-0.4999085378786932,-0.5705885160913826,-0.4078448563256563
Idaho,83569,114.33333333333333,588407.4677537789,5146.421000761915,24996.0,4680,0.1872299567930869,23.540065120570446,0.07909648911782392,-0.4666024770569379,-0.004473039918359033,-0.4031283221274827,0.20419658046905895,0.5649081377691604,0.08287883522413982
Illinois,57914,886.5,9063.126707443847,10.223493183805806,72651.0,73,0.0010048037879726,0.12474882255500747,-0.1852082043295608,2.3062474706160234,-0.37267590657333566,0.8090495753880511,-0.49792728971018224,-0.6161433526364389,-0.4052443026565338
Indiana,36420,442.3333333333333,773242.4936430515,1748.0990813331987,56649.0,113,0.0019947395364437,13.649711268390465,-0.406645159346442,0.7112452883262669,-0.24809137248908464,0.40201420205800026,-0.4918311414993792,-0.6098651186155735,-0.12329862980055734
Iowa,56273,726.6666666666666,26611.994896394135,36.62201132531303,86104.0,4184,0.0485923998885069,0.3090680444159869,-0.20211422662334988,1.7322860849440245,-0.3707834540263288,1.151247230519233,0.12860434265510115,-0.314339861580576,-0.40140192547907355
Kansas,82278,430.0,17793.72863983089,41.38076427867649,58569.0,399,0.0068124775905342,0.30380796393708087,0.06579626073191186,0.6669562971482399,-0.37044230934165767,0.4508523420901024,-0.44824368179213736,-0.5793107245536119,-0.40151157879129834
Kentucky,40408,176.83333333333334,858735.5489609989,4856.185950769079,75966.0,8861,0.11664428823421,11.304209106192229,-0.3655597133332606,-0.2421650217628821,-0.025279361570406122,0.8933716765372274,0.8413964722032476,0.1172494423272629,-0.1721937145709964
Louisiana,52378,150.16666666666666,540716.2612105065,3600.774214498379,27386.0,6052,0.2209888264076535,19.744258424395916,-0.24224156168386687,-0.33792500268834597,-0.11527710784966434,-0.3423350124000223,0.4132944640996035,0.7790089862812687,0.003750240429876049
Maine,35380,17.666666666666668,234604.92501161373,13279.524057261153,7600.0,333,0.0438157894736842,30.86906908047549,-0.41735951838699087,-0.8137324079117443,0.578571489772136,-0.845622220043341,-0.45830232633996243,-0.34463342159906785,0.235661584981483
Maryland,12406,62.5,177413.29371890033,2838.612699502405,12429.0,480,0.038619357953174,14.274140616212112,-0.6540438305000377,-0.6527359399808081,-0.1699148148812898,-0.7227892105563508,-0.4358989816652612,-0.377589513153041,-0.11028157682701635
Massachusetts,10554,69.16666666666667,359885.7149131784,5203.166962600169,7241.0,5,0.0006905123601712,49.70110687932308,-0.6731236314068612,-0.6287959447494422,-0.0004050449105518936,-0.8547539347680934,-0.5082907416685474,-0.6181366083982766,0.6282402401688157
Michigan,96714,266.3333333333333,195922.08650771773,735.6273586021942,47641.0,2551,0.0535463151487164,4.112467968928397,0.21451980602937615,0.07922941421820572,-0.32067327576804244,0.172881928407388,-0.12027090805093334,-0.2829218232168068,-0.32211503982955264
Minnesota,86936,457.0,142906.3843471735,312.70543620825714,68822.0,1006,0.0146174188486239,2.0764636939811907,0.11378422651160074,0.763913277835272,-0.3509916317048859,0.7116530971677808,-0.3557346326932011,-0.5298113021789027,-0.364558233112828
Mississippi,48432,126.66666666666667,,,34988.0,2604,0.074425517320224,,-0.2828943124281031,-0.4223134858789109,,-0.1489665017104181,-0.1121935116716193,-0.15050462583390734,
Missouri,69707,436.6666666666667,47548.7575459289,108.89028445632572,95320.0,839,0.0088019303399076,0.4988329578884694,-0.06371355417072207,0.6908962923796059,-0.36560269816641816,1.385670302673323,-0.38118605147330387,-0.5666934916136854,-0.39744602568062865
Montana,147040,134.5,241116.35229923914,1792.6866341950865,27048.0,236,0.0087252292221236,8.914387470394821,0.7329917609088571,-0.3941839914820559,-0.24489498746754784,-0.3509325599681736,-0.47308548575115983,-0.567179934868062,-0.22201269719731365
Nebraska,77358,447.3333333333333,61900.38600829228,138.37642177710643,46332.0,298,0.006431839765173,1.3360180006969757,0.015109100655469342,0.7292002847497914,-0.3634889008928368,0.13958550897925173,-0.46363645602441506,-0.5817247532908322,-0.37999379975801373
Nevada,110572,36.333333333333336,138709.16976530346,3817.6835715221137,3423.0,856,0.2500730353491089,40.5226905536966,0.35728864024468926,-0.7467004212639196,-0.0997273461937722,-0.9518706111444297,-0.37859518848371254,0.9634628463708904,0.43690405146998035
