year,state,occ_code,occ_title,tot_emp,h_mean,a_mean
2021,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,16.97,35310.0
2011,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",320.0,13.04,27110.0
2012,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",430.0,13.64,28360.0
2013,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,13.91,28940.0
2014,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",420.0,14.27,29690.0
2015,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,14.06,29240.0
2016,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,14.73,30640.0
2017,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",550.0,15.79,32840.0
2018,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,16.56,34450.0
2019,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,17.57,36550.0
2020,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,18.11,37680.0
2021,Montana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,18.33,38120.0
2011,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,14.59,30350.0
2012,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",310.0,14.56,30280.0
2013,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",250.0,14.29,29720.0
2014,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,14.08,29290.0
2015,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",240.0,15.43,32090.0
2016,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",290.0,16.28,33860.0
2017,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",180.0,16.98,35310.0
2018,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200.0,16.77,34880.0
2019,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",160.0,17.2,35770.0
2020,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",150.0,18.46,38400.0
2021,Nebraska,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",600.0,17.86,37140.0
2011,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",30.0,15.92,33120.0
2015,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",50.0,16.34,33990.0
2016,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",90.0,15.97,33210.0
2017,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,15.01,31230.0
2018,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,15.36,31960.0
2019,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,15.69,32630.0
2020,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",30.0,17.62,36660.0
2021,Nevada,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,20.32,42270.0
2016,New Hampshire,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.43,40420.0
2017,New Hampshire,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.97,41530.0
2018,New Hampshire,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",120.0,18.68,38840.0
2019,New Hampshire,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,20.76,43190.0
2020,New Hampshire,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,22.3,46390.0
2021,New Hampshire,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",120.0,25.04,52080.0
2011,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270.0,17.22,35820.0
2012,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",570.0,18.49,38450.0
2013,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",550.0,19.7,40980.0
2014,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,20.64,42930.0
2015,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,18.28,38020.0
2016,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",160.0,16.22,33740.0
2017,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,16.95,35250.0
2018,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",180.0,17.78,36970.0
2019,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",210.0,18.31,38090.0
2020,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,20.49,42630.0
2021,New Jersey,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,23.88,49680.0
2011,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,11.57,24070.0
2012,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,11.52,23960.0
2013,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,11.87,24700.0
2014,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",50.0,14.06,29240.0
2015,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,16.39,34080.0
2016,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,16.52,34360.0
2017,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,15.84,32950.0
2018,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",150.0,16.79,34930.0
2019,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,17.31,36000.0
2020,New Mexico,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,21.22,44140.0
2011,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",350.0,16.92,35190.0
2012,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",530.0,15.99,33250.0
2013,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",550.0,16.29,33880.0
2014,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",540.0,16.76,34870.0
2015,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",560.0,15.69,32630.0
2016,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",560.0,15.53,32290.0
2017,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",790.0,17.85,37120.0
2018,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",610.0,20.45,42530.0
2019,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,22.17,46110.0
2020,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.42,40400.0
2021,New York,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",400.0,19.2,39940.0
2011,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",500.0,16.39,34100.0
2012,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",510.0,16.24,33780.0
2013,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,16.82,34980.0
2014,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,15.76,32780.0
2015,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",250.0,14.24,29620.0
2016,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,14.16,29440.0
2017,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",350.0,15.49,32210.0
2018,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",240.0,18.01,37470.0
2019,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",610.0,13.23,27520.0
2020,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",610.0,13.04,27130.0
2021,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",900.0,16.69,34710.0
2011,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,14.25,29650.0
2012,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",330.0,14.18,29490.0
2013,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,14.38,29900.0
2014,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,15.14,31480.0
2015,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,17.95,37330.0
2016,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,17.55,36510.0
2017,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,18.08,37600.0
2018,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,21.07,43820.0
2019,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",630.0,22.73,47270.0
2020,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",590.0,24.47,50890.0
2021,North Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",420.0,20.45,42540.0
2011,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",710.0,15.53,32310.0
2012,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",620.0,16.08,33450.0
2013,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",500.0,15.86,32990.0
2014,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",610.0,15.28,31770.0
2015,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",770.0,15.49,32220.0
2016,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,15.55,32340.0
2017,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",790.0,16.35,34020.0
2018,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",660.0,16.64,34600.0
2019,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",610.0,17.62,36650.0
2020,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,17.92,37280.0
2021,Ohio,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",540.0,22.94,47720.0
2011,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,10.04,20890.0
2012,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",400.0,11.19,23270.0
2013,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",230.0,14.23,29590.0
2014,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,14.79,30770.0
2015,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",430.0,16.13,33540.0
2016,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",490.0,17.2,35780.0
2017,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",360.0,18.63,38750.0
2018,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,17.9,37220.0
2019,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",190.0,20.15,41920.0
2020,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,21.1,43890.0
2021,Oklahoma,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",180.0,17.2,35770.0
2011,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",430.0,18.52,38520.0
2012,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,18.09,37620.0
2013,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,17.74,36900.0
2014,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,17.25,35870.0
2015,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",290.0,17.42,36230.0
2016,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,18.04,37520.0
2017,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,21.72,45180.0
2018,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",250.0,24.54,51040.0
2019,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270.0,22.14,46040.0
2020,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,21.4,44510.0
2021,Oregon,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",340.0,21.45,44620.0
2011,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1060.0,16.15,33590.0
2012,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,18.04,37530.0
2013,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",670.0,17.99,37420.0
2014,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",510.0,18.42,38320.0
2015,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,18.29,38030.0
2016,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",960.0,17.4,36190.0
2017,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",930.0,17.79,37010.0
2018,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",680.0,18.02,37480.0
2019,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",430.0,20.0,41610.0
2020,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",340.0,21.01,43690.0
2021,Pennsylvania,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",540.0,21.24,44170.0
2011,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,13.9,28910.0
2012,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",210.0,14.03,29180.0
2013,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",280.0,14.44,30030.0
2014,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",350.0,13.56,28210.0
2015,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,13.77,28650.0
2016,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",290.0,13.48,28040.0
2017,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,15.39,32020.0
2018,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",330.0,16.79,34930.0
2019,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",250.0,18.67,38830.0
2020,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",240.0,18.53,38550.0
2021,South Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",360.0,15.4,32030.0
2011,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",710.0,14.32,29780.0
2012,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",720.0,14.52,30190.0
2013,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",650.0,14.03,29180.0
2014,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",630.0,14.19,29510.0
2015,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",700.0,14.58,30320.0
2016,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",580.0,14.76,30710.0
2017,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",610.0,15.74,32740.0
2018,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",510.0,16.04,33360.0
2019,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",630.0,17.1,35580.0
2020,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",670.0,17.3,35990.0
2021,South Dakota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",810.0,18.36,38180.0
2011,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,14.88,30950.0
2012,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,14.09,29300.0
2013,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,14.65,30480.0
2014,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,17.04,35450.0
2015,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",380.0,14.91,31020.0
2016,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",590.0,15.7,32650.0
2017,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,16.88,35120.0
2018,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,16.86,35070.0
2019,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",150.0,13.1,27240.0
2020,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",160.0,12.54,26090.0
2021,Tennessee,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",580.0,17.66,36740.0
2011,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",950.0,15.52,32290.0
2012,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",830.0,16.5,34320.0
2013,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1190.0,15.86,32980.0
2014,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1150.0,16.27,33840.0
2015,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1360.0,17.31,36010.0
2016,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1160.0,18.61,38710.0
2017,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1110.0,18.93,39360.0
2018,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",820.0,17.14,35650.0
2019,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",930.0,16.75,34840.0
2020,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1190.0,17.49,36390.0
2021,Texas,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1020.0,21.56,44850.0
2011,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,15.95,33170.0
2012,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200.0,16.1,33480.0
2013,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200.0,15.6,32450.0
2014,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200.0,15.63,32500.0
2015,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,15.38,31980.0
2016,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270.0,15.33,31880.0
2017,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",320.0,16.05,33390.0
2018,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,16.8,34940.0
2019,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",180.0,17.9,37230.0
2020,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,18.93,39370.0
2021,Utah,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,17.12,35620.0
2018,Vermont,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,26.21,54520.0
2011,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",340.0,16.84,35030.0
2012,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",370.0,16.57,34460.0
2013,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,15.74,32740.0
2014,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",390.0,15.12,31450.0
2015,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",400.0,16.12,33540.0
2016,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",330.0,16.98,35320.0
2017,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,16.14,33570.0
2018,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,17.21,35790.0
2019,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,17.32,36030.0
2020,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.18,39890.0
2021,Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",570.0,19.86,41300.0
2011,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",740.0,15.44,32120.0
2012,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",620.0,15.27,31760.0
2013,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",670.0,15.2,31610.0
2014,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",490.0,15.48,32190.0
2015,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,17.02,35400.0
2016,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",650.0,18.17,37800.0
2017,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,18.45,38370.0
2018,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",710.0,18.23,37920.0
2019,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",810.0,19.14,39810.0
2020,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",730.0,20.48,42600.0
2021,Washington,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",630.0,23.5,48870.0
2011,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,13.5,28090.0
2012,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,13.52,28130.0
2013,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,15.69,32640.0
2014,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",160.0,15.96,33210.0
2015,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",230.0,16.96,35280.0
2016,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",80.0,16.54,34400.0
2017,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,16.22,33730.0
2018,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",90.0,16.91,35170.0
2019,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,18.07,37590.0
2020,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",80.0,19.14,39810.0
2021,West Virginia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",30.0,17.56,36520.0
2011,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,16.03,33340.0
2012,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",310.0,16.44,34190.0
2013,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",340.0,16.79,34930.0
2014,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,16.86,35070.0
2015,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",490.0,17.47,36340.0
2016,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",540.0,17.28,35930.0
2017,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",490.0,16.82,34990.0
2018,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,16.86,35080.0
2019,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,18.92,39340.0
2020,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",360.0,20.66,42980.0
2021,Wisconsin,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",660.0,22.24,46260.0
2011,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,14.61,30380.0
2012,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",210.0,15.09,31390.0
2013,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",230.0,15.03,31270.0
2014,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",320.0,16.46,34230.0
2015,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",230.0,14.44,30040.0
2016,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,15.9,33080.0
2017,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",210.0,16.7,34740.0
2018,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,18.51,38500.0
2019,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,19.04,39600.0
2020,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",220.0,20.05,41700.0
2021,Wyoming,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,18.58,38640.0
2011,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",330.0,23.28,48420.0
2012,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320.0,24.03,49980.0
2013,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",390.0,22.2,46170.0
2014,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",420.0,23.81,49530.0
2015,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",380.0,23.23,48310.0
2016,Alabama,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",360.0,26.41,54930.0
