year,state,occ_code,occ_title,tot_emp,h_mean,a_mean
2018,Colorado,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,18.56,38600.0
2019,Colorado,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",340.0,20.56,42770.0
2020,Colorado,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",500.0,20.05,41710.0
2021,Colorado,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",380.0,19.97,41540.0
2011,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,18.28,38020.0
2012,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,18.99,39500.0
2013,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,22.05,45860.0
2014,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,17.44,36270.0
2015,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,18.57,38630.0
2016,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,18.58,38640.0
2017,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,20.66,42980.0
2018,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.34,40240.0
2019,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,17.38,36160.0
2020,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,16.74,34820.0
2021,Connecticut,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",170.0,19.37,40300.0
2011,Delaware,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",80.0,15.13,31460.0
2016,Delaware,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",50.0,15.64,32520.0
2017,Delaware,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,16.3,33910.0
2018,Delaware,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",50.0,16.17,33640.0
2019,Delaware,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,15.52,32280.0
2020,Delaware,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,15.71,32670.0
2011,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3070.0,14.85,30890.0
2012,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3280.0,15.33,31880.0
2013,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2630.0,15.28,31770.0
2014,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3190.0,15.77,32790.0
2015,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2520.0,15.87,33020.0
2016,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2610.0,16.16,33610.0
2017,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2760.0,15.66,32580.0
2018,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3110.0,15.28,31790.0
2019,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3490.0,15.99,33270.0
2020,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",4090.0,16.36,34030.0
2021,Florida,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3930.0,17.84,37120.0
2011,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,13.22,27490.0
2012,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",900.0,13.02,27090.0
2013,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",930.0,13.28,27620.0
2014,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",730.0,14.48,30120.0
2015,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",720.0,15.25,31730.0
2016,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",850.0,16.37,34050.0
2017,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",720.0,17.22,35820.0
2018,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",660.0,17.77,36960.0
2019,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",620.0,16.28,33870.0
2020,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",860.0,15.99,33260.0
2021,Georgia,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",690.0,19.26,40050.0
2011,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",80.0,16.7,34740.0
2012,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,17.07,35500.0
2013,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,17.84,37110.0
2014,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,18.55,38580.0
2015,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,19.28,40110.0
2016,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,17.93,37290.0
2017,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,19.45,40450.0
2018,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",130.0,19.66,40900.0
2019,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.72,41010.0
2020,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.61,40790.0
2021,Hawaii,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",150.0,21.86,45470.0
2011,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",190.0,15.06,31320.0
2012,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,14.68,30540.0
2013,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,14.72,30610.0
2014,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270.0,14.85,30880.0
2015,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,14.24,29620.0
2016,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270.0,14.92,31040.0
2017,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",310.0,16.22,33730.0
2018,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",580.0,,
2019,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",660.0,,
2020,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",700.0,,
2021,Idaho,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",570.0,19.68,40930.0
2011,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1080.0,17.05,35470.0
2012,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",880.0,14.06,29250.0
2013,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",920.0,16.69,34710.0
2014,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1170.0,18.82,39140.0
2015,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1030.0,20.16,41920.0
2016,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1350.0,18.98,39480.0
2017,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1480.0,18.04,37520.0
2018,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1650.0,19.2,39930.0
2019,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1160.0,20.95,43570.0
2020,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",960.0,22.09,45940.0
2021,Illinois,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1410.0,21.67,45070.0
2011,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",730.0,16.9,35150.0
2012,Indiana,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",760.0,15.78,32830.0
