Year,State,Generated Internal ID,CFDA Number,Recipient,Type Description,Description,Total Obligation
2016,OK,ASST_NON_00635416_6800,66.7,DEPARTMENT OF AGRICULTURE FOOD & FORESTRY OKLAHOMA,,"THIS FY2016 COOPERATIVE AGREEMENT WITH OKLAHOMA DEPARTMENT OF AGRICULTURE FOOD AND FORESTRY FOR ENFORCEMENT, APPLICATOR CERTIFICATION, WORKER PROTECT",294792
2016,OK,ASST_NON_01F19201_6800,66.716,CHEROKEE NATION,,THE PRIMARY GOAL OF THE PROPOSED PESTICIDES PROGRAM IS TO IMPROVE HUMAN HEALTH AND THE ENVIRONMENT AMONG ITEC TRIBES BY BUILDING TRIBAL CAPACITY TO E,50000
2016,OR,ASST_NON_83560101_6800,66.716,OREGON STATE UNIVERSITY,,THIS PROGRAM WILL FACILITATE INFORMED DECISION-MAKING ABOUT PESTICIDES AND SUPPORT THE PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT BY SERVING AS A,1000000
2016,OR,ASST_NON_00051117_6800,66.7,OREGON DEPT OF AGRICULTURE,,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATION OF PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS THAT COULD INCLUDE, BUT ARE NOT LI",552000
2016,PA,ASST_NON_83558301_6800,66.714,THE PENNSYLVANIA STATE UNIVERSITY,,"THIS PROJECT WILL USE ON-FARM RESEARCH TO SCRUTINIZE THE VALUE OF INSECTICIDAL SEED TREATMENTS FOR CONTROLLING SLUGS, LOOK AT THE TREATMENT'S INFLUEN",0
2016,SC,ASST_NON_98463614_6800,66.7,CLEMSON UNIVERSITY,,"THIS ACTION APPROVES FUNDING IN THE AMOUNT OF $48,128 TO CLEMSON UNIVERSITY FOR THEIR PESTICIDES ENFORCEMENT PROGRAM WHICH HELPS PROTECT HUMAN HEALTH",159067
2016,SC,ASST_NON_98463714_6800,66.7,CLEMSON UNIVERSITY,,"THIS ACTION APPROVES FUNDING IN THE AMOUNT OF $43,382 TO CLEMSON UNIVERSITY FOR THEIR PESTICIDES SPECIAL PROGRAM SO THAT THEY CAN CONTINUE THEIR ONGO",132751
2016,SC,ASST_NON_98463814_6800,66.7,CLEMSON UNIVERSITY,,"THIS ACTION APPROVES FUNDING IN THE AMOUNT OF $29,599 TO CLEMSON UNIVERSITY TO ENABLE THEM TO CONTINUE THEIR ONGOING CERTIFICATION AND TRAINING PROGR",98527
2016,SD,ASST_NON_97861004_6800,66.7,CHEYENNE RIVER SIOUX TRIBE,,"CHEYENNE RIVER SIOUX TRIBE PESTICIDES FY16. PERFORM INSPECTIONS, COMPLIANCE ASSISTANCE, AND PESTICIDES PROGRAM OUTREACH AS OUTLINED IN THE FEDERAL IN",240760
2016,TX,ASST_NON_00635517_6800,66.7,"AGRICULTURE, TEXAS DEPARTMENT OF",,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO FUND THE TEXAS DEPARTMENT OF AGRICULTURE'S CONTINUING PESTICIDES PROGRAM ACTIVITIES FOR FISCAL YEAR 2,160978
2016,TX,ASST_NON_00635516_6800,66.7,"AGRICULTURE, TEXAS DEPARTMENT OF",,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO FUND THE TEXAS DEPARTMENT OF AGRICULTURE'S CONTINUING PESTICIDES PROGRAM ACTIVITIES FOR FISCAL YEAR 2,857957
2016,TX,ASST_NON_83559001_6800,66.716,TEXAS A&M AGRILIFE EXTENSION SERVICE,,THIS PROJECT AIMS TO UTILIZE THE NATIONAL SCHOOL IPM IMPLEMENTATION TEAM IN COOPERATION WITH THE EPA CENTER OF EXPERTISE TO DEVELOP A CENTRAL HUB FOR,0
2016,VT,ASST_NON_99101812_6800,66.7,VERMONT AGENCY OF AGRICULTURE,,"ENSURE THE SAFE AND EFFECTIVE USE OF PESTICIDES THROUGH CERTIFICATION AND TRAINING OF PESTICIDE APPLICATORS, MONITORING  THE SALE AND DISTRIBUTION OF",148157
2016,VT,ASST_NON_00A00217_6800,66.7,VERMONT AGENCY OF AGRICULTURE,,"FUNDING WILL PROVIDE THE VERMONT AGENCY OF AGRICULTURE, FOOD & MARKETS THE ABILITY TO MAINTAIN A PESTICIDE PROGRAM. THIS ASSISTANCE AGREEMENT PROVIDE",188093
2016,WA,ASST_NON_83578901_6800,66.716,WASHINGTON STATE UNIVERSITY,,"WASHINGTON STATE UNIVERSITY WILL ESTABLISH THE PREP CAMPUS TO DEVELOP OR ENHANCE STATE, TRIBE, AND U.S. TERRITORY PESTICIDE MANAGER'S AND SENIOR STAF",507000
2016,WA,ASST_NON_97076212_6800,66.7,STATE OF WASHINGTON DEPARTMENT OF AGRICULTURE,,"DURING THE PROJECT PERIOD, THE WASHINGTON STATE DEPARTMENT OF AGRICULTURE WILL COOPERATIVE IN THE ENFORCEMENT OF THE FEDERAL INSECTICIDE FUNGICIDE AN",14000
2016,WA,ASST_NON_01J24801_6800,66.7,STATE OF WASHINGTON DEPARTMENT OF AGRICULTURE,,"DURING THE PROJECT PERIOD, THE WASHINGTON STATE DEPARTMENT OF AGRICULTURE WILL COOPERATIVE IN THE ENFORCEMENT OF THE FEDERAL INSECTICIDE FUNGICIDE AN",579000
2016,WA,ASST_NON_98097108_6800,66.7,CONFEDERATED TRIBES AND BANDS OF THE YAKAMA NATION,,THIS AWARD FOR THE YAKAMA NATION PESTICIDE PROGRAM'S COOPERATIVE AGREEMENT WILL FUND THE ONGOING SUPPORT AND DEVELOPMENT OF A COMPREHENSIVE PESTICIDE,99243
2017,AK,ASST_NON_01J11201_6800,66.716,BRISTOL BAY AREA HEALTH CORPORATION,,THE GRANTEE WILL HELP ALASKA RURAL COMMUNITIES BREAK DOWN THE BARRIERS TO EFFECTIVE BED BUG MANAGEMENT.  FUNDING IN YEAR ONE WILL BE USED TO CREATE A,8316
2017,AR,ASST_NON_00635117_6800,66.7,ARKANSAS STATE PLANT BOARD,,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO SUPPORT THE ARKANSAS STATE PLANT BOARD'S GOAL TO ADMINISTER A COMPREHENSIVE AND EFFECTIVE CONTINUING,260857
2017,AR,ASST_NON_00635118_6800,66.7,ARKANSAS STATE PLANT BOARD,,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATION OF PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS IN THE STATE OF ARKANSAS THAT WILL INCLUDE COMPLIANCE MONITORING, ENFORCEMENT, CERTICATION AND TRAINING FOR PESTICIDE APPLICATORS, WORKER PROTECTION SAFETY, AND OUTREACH AND EDUCATION.  THIS AGREEMENT WILL RESULT IN REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES.",248502
2017,CA,ASST_NON_83542501_6800,66.509,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,THIS PROJECT WILL DIFFERENTIATE THE PARTICULATE MATTER CONTRIBUTIONS OF HOUSEHOLD RESIDENTIAL BURNING AND OUTDOOR AIR TRANSPORT IN INDIA. MODELING OF,0
2017,CA,ASST_NON_83590701_6800,66.716,"UNIVERSITY OF CALIFORNIA, DAVIS",,THE RECIPIENT WILL PROVIDE TECHNICAL SUPPORT TO THE TRIBAL PESTICIDE PROGRAM COUNCIL TO FURTHER ITS MISSION OF ADVANCING TRIBAL PESTICIDE PROGRAMS.,390000
2017,CO,ASST_NON_83617701_6800,66.716,NATIONAL ENVIRONMENTAL HEALTH ASSOCIATION,,"THE PROPOSAL FOR INTEGRATED PEST MANAGEMENT MENTORSHIP PROGRAM FOR DEVELOPING SCHOOL IPM IS A COMPREHENSIVE, HANDS-ON, MENTORED PROGRAM DEVELOPMENT T",0
2017,CO,ASST_NON_96841401_6800,66.7,COLORADO STATE UNIVERSITY,,THIS AWARD PROVIDES FUNDS FOR REDUCING THE AMOUNT OF PESTICIDES USED IN THE UNITED STATES THROUGH OUTREACH AND EDUCATION ON INTEGRATED PEST MANAGEMEN,7959
2017,ID,ASST_NON_00052716_6800,66.7,"AGRICULTURE, IDAHO DEPARTMENT OF",,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATION AND ENFORCEMENT OF THE FEDERAL INSECTICIDE, FUNGICIDE, AND RODENTICIDE ACT INCLUDING PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS THAT INCLUDE, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, AND OUTREACH AND EDUCATION.  THIS AGREEMENT WILL RESULT IN THE ENHANCED PROTECTION OF HUMAN HEALTH, INCLUDING FARM WORKERS, PESTICIDE APPLICATORS, WATER QUALITY, ENDANGERED SPECIES AND THE ENVIRONMENT.",394000
2017,ID,ASST_NON_00087009_6800,66.7,COEUR D'ALENE TRIBE,,"THE COEUR D'ALENE TRIBE HOSTS THE REGION 10 PESTICIDE ENFORCEMENT CIRCUIT RIDER PROGRAM. THE TRIBE WORKS IN COOPERATION WITH THE US ENVIRONMENTAL PROTECTION AGENCY TO PROVIDE PESTICIDE ENFORCEMENT UNDER THE FEDERAL INSECTICIDE, FUNGICIDE, AND RODENTICIDE ACT AND PROVIDES COVERAGE FOR 6 INLAND NORTHWEST TRIBAL GOVERNMENTS INCLUDING COEUR D'ALENE TRIBE, NEZ PERCE TRIBE, KOOTENAI TRIBE OF IDAHO, SPOKANE TRIBE OF INDIANS, CONFEDERATED TRIBES OF THE COLVILLE RESERVATION, KALISPEL TRIBE OF INDIANS.",154670
2017,IL,ASST_NON_00E02117_6800,66.716,MIDWEST PESTICIDE ACTION CENTER NFP,,"THROUGH THIS AGREEMENT THE RECIPIENT WILL: (1) DEVELOP AND PROVIDE A FULL DAY BED BUG AWARENESS TRAINING WORKSHOP; (2) DEVELOP AND PROVIDE STAKEHOLDER SPECIFIC BED BUG RESOURCE MATERIALS/RESPONSE KITS, AND A DEMONSTRATION TRAIN-THE-TRAINER KIT, AND; (3) INCREASE THE KNOWLEDGE OF INTEGRATED PEST MANAGEMENT (IPM) AND APPLICATION/DISSEMINATION AS IT RELATES TO BED BUG CONTROL AMONG THE IDENTIFIED STAKEHOLDERS. THE OBJECTIVES ARE TO EDUCATE CENTRAL MICHIGAN/FLINT AREA STAKEHOLDERS ON BED BUGS AND EMPOWER THEM TO BETTER PREVENT AND CONTROL THESE PERSISTENT PUBLIC HEALTH PESTS,",0
2017,IN,ASST_NON_97547117_6800,66.7,PURDUE UNIVERSITY,,"THE WORK PROPOSED BY THE OFFICE OF INDIANA STATE CHEMIST HOUSED AT PURDUE UNIVERSITY IS TO PROTECT THE SURFACE/GROUND WATERS, AGRICULTURAL WORKERS, H",523680
2017,IN,ASST_NON_97547118_6800,66.7,PURDUE UNIVERSITY,,"THE WORK PROPOSED BY THE OFFICE OF INDIANA STATE CHEMIST HOUSED AT PURDUE UNIVERSITY IS TO PROTECT THE SURFACE/GROUND WATERS, AGRICULTURAL WORKERS, HANDLERS, AND ENDANGERED SPECIES FROM PESTICIDE.  ADDITIONAL BENEFITS INCLUDE REDUCED EXPOSURE TO TOXIC PESTICIDES, ENSURE CLEANER WATERS, AND FOSTER IMPROVED PESTICIDE COMPLIANCE. THIS WILL BE DONE THROUGH THE IMPLEMENTATION OF THE STATE/FEDERAL PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS.",315706
2017,IN,ASST_NON_00E02320_6800,66.7,PURDUE UNIVERSITY,,"THIS COOPERATIVE AGREEMENT TO PURDUE UNVERSITY ALLOWS THE UNIVERSITY TO CONDUCT SPECIALIZED LABORATORY TRAINING WITH A FOCUS ON PROVIDING INFORMATION, TIPS AND TECHNIQUES THAT WILL BE USEFUL TO STATE AND TRIBAL PESTICIDE LABORATORY ANALYSTS IN ANALYZING AND REPORTING PESTICIDE REGULATORY COMPLIANCE AND ENFORCEMENT SAMPLES COLLECTED UNDER THE FEDERAL INSECTICIDE, FUNGICIDE, AND RODENTICIDE ACT (FIFRA).",41000
2017,KY,ASST_NON_83698001_6800,66.716,EXTENSION FOUNDATION,,TO ESTABLISH AND ADMINISTER A NATIONAL SUBAWARD PROGRAM IN SUPPORT OF PESTICIDE APPLICATOR EDUCATION AND TRAINING FOR CERTIFIED APPLICATORS OF RESTRICTED USE PESTICIDES.,1500000
2017,LA,ASST_NON_00635218_6800,66.7,"AGRICULTURE & FORESTRY, LOUISIANA DEPARTMENT OF",,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATION OF PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS IN THE STATE OF LOUISIANA THAT WILL INCLUDE, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS, COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION.  THIS AGREEMENT WILL RESULT IN REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES.",248502
2017,LA,ASST_NON_00635216_6800,66.7,"AGRICULTURE & FORESTRY, LOUISIANA DEPARTMENT OF",,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO SUPPORT THE LOUISIANA DEPARTMENT OF AGRICULTURE AND FORESTRY'S GOAL TO ADMINISTER A COMPREHENSIVE AND,219726
2017,ME,ASST_NON_00A00308_6800,66.7,"AGRICULTURE, CONSERVATION & FORESTRY, MAINE DEPARTMENT OF",,"FUNDING WILL PROVIDE THE MAINE DEPARTMENT OF AGRICULTURE, CONSERVATION AND FORESTRY (MEDOACF) THE ABILITY TO MAINTAIN A PESTICIDE PROGRAM. THIS ASSISTANCE AGREEMENT PROVIDES UTILIZATION OF PESTICIDE PROGRAM AND PESTICIDE ENFORCEMENT FUNDING. THE FUNDS WILL BE USED TO: CONDUCT FIFRA COMPLIANCE INSPECTIONS, TAKE APPROPRIATE ENFORCEMENT ACTIONS, IMPLEMENT WORKER SAFETY PROGRAMS, SUCH AS THE WORKER PROTECTION PROGRAM, AND FOR THE CERTIFICATION AND TRAINING OF PESTICIDE APPLICATORS. IN ADDITION, THE STATE WILL IMPLEMENT PROGRAMS TO SUPPORT: WATER QUALITY, ENDANGERED SPECIES, AND CONTAINER/CONTAINMENT.",351000
2017,MA,ASST_NON_00A00452_6800,66.7,MASSACHUSETTS DEPARTMENT OF AGRICULTURAL RESOURCES,,"PER YOUR APPLICATION REQUEST DATED JULY 17, 2017, THIS COOPERATIVE AGREEMENT AWARDS FEDERAL FUNDING IN THE AMOUNT OF $392,000 TO THE MASSACHUSETTS DEPARTMENT OF AGRICULTURUL RESOURCES (MDAR) DIVISION OF CROP SERVICES THE ABILITY TO MAINTAIN A PESTICIDE PROGRAM.  THIS COOPERATIVE AGREEMENT PROVIDES UTILIZATION OF PESTICIDE PROGRAM AND PESTICIDE ENFORCEMENT FUNDING.",392000
2017,MA,ASST_NON_96156701_6800,66.714,UNIVERSITY OF MASSACHUSETTS,,"PROJECT WILL BRING TOGETHER RESEARCHERS, INDUSTRY REPRESENTATIVES, AND GROWERS TO ASSESS THE CURRENT STATE OF DODDER (A PARASITIC WEED) IN CRANBERRY",0
2017,MI,ASST_NON_00E02116_6800,66.716,MICHIGAN MIGRANT LEGAL ASSISTANCE PROJECT INC,,"MICHIGAN MIGRANT LEGAL ASSISTANCE PROJECT, INC. WILL DEVELOP A MICHIGAN STATE-SPECIFIC WORKER PROTECTION STANDARD (WPS) RESOURCE GUIDE. THE WPS GUIDE WILL BE FOR MICHIGAN AGRICULTURAL EMPLOYERS THAT WILL CONTAIN STATE SPECIFIC INFORMATION AND CONTACTS. THE SECOND COMPONENT OF THIS PROJECT IS THE DEVELOPMENT OF FARMWORKER WPS POCKET CARDS, IN BOTH ENGLISH AND SPANISH, THAT CONTAINS KEY POINTS ABOUT THE WPS PROTECTIONS AS RELATED TO WORKERS AND CONTACT INFORMATION. THESE RESOURCES WILL HELP THE AGRICULTURAL EMPLOYERS COMPLY WITH THE REVISED WPS RESULTING IN ENHANCED FARMWORKER PROTECTION.",20000
2017,MN,ASST_NON_83521201_6800,66.716,ASSOCIATION OF AMERICAN PESTICIDE CONTROL OFFICIALS INC,,"THE PURPOSE OF SFIREG IS TO IDENTIFY, EVALUATE AND RECOMMEND SOLUTIONS TO ISSUES THAT RESULT FROM THE IMPLEMENTATION OF FIFRA BY STATE REGULATORY PRO",140000
2017,MT,ASST_NON_97834718_6800,66.7,CONFEDERATED SALISH & KOOTENAI TRIBES,PROJECT GRANT,"THE TRIBAL CIRCUIT RIDER PROGRAM IMPLEMENTS THE FEDERAL INSECTICIDE, FUNGICIDE AND RODENTICIDE ACT IN INDIAN COUNTRY TO REDUCE MISUSE AND PROTECT PUBLIC HEALTH AND THE ENVIRONMENT.",214000
2017,NE,ASST_NON_97753302_6800,66.7,WINNEBAGO TRIBE OF NEBRASKA,,THE OUTCOME OF THIS PROJECT IS TO REDUCE RISK TO HUMAN HEALTH AND THE ENVIRONMENT FROM PESTICIDE EXPOSURE. THE WINNEBAGO AND OMAHA TRIBES WILL ENGAGE,3000
2017,NV,ASST_NON_98974915_6800,66.7,SHOSHONE-PAIUTE TRIBES,,"THE PURPOSE OF THIS AGREEMENT IS TO SUPPORT THE SHOSHONE PAIUTE TRIBES OF THE DUCK VALLEY RESERVATION GOAL THAT PESTICIDES ARE USED, SOLD AND DISTRIB",0
2017,NH,ASST_NON_00A00015_6800,66.7,STATE OF NEW HAMPSHIRE,,"FUNDING WILL PROVIDE THE NEW HAMPSHIRE DEPARTMENT OF AGRICULTURE, MARKETS, AND FOOD, DIVISION OF PESTICIDE CONTROL THE ABILITY TO MAINTAIN A PESTICID",0
2017,NH,ASST_NON_00A00259_6800,66.7,STATE OF NEW HAMPSHIRE,,"FUNDING WILL PROVIDE THE NEW HAMPSHIRE DEPARTMENT OF AGRICULTURE, MARKETS, AND FOOD, DIVISION OF PESTICIDE CONTROL THE ABILITY TO MAINTAIN A PESTICIDE PROGRAM. THIS ASSISTANCE AGREEMENT PROVIDES UTILIZATION OF PESTICIDE PROGRAM AND PESTICIDE ENFORCEMENT FUNDING.THE FUNDS WILL BE USED TO: CONDUCT FIFRA COMPLIANCE INSPECTIONS, TAKE APPROPRIATE ENFORCEMENT ACTIONS, IMPLEMENT WORKER SAFETY PROGRAMS; SUCH AS THE WORKER PROTECTION PROGRAM AND FOR THE CERTIFICATION AND TRAINING OF PESTICIDE APPLICATORS. IN ADDITION, THE STATE WILL IMPLEMENT PROGRAMS TO SUPPORT WATER QUALITY, ENDANGERED SPECIES, AND CONTAINER/CONTAINMENT.",298000
2017,NM,ASST_NON_00665316_6800,66.7,DEPARTMENT OF AGRICULTURE NEW MEXICO,,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO FUND THE NEW MEXICO DEPARTMENT OF AGRICULTURE'S CONTINUING PESTICIDES PROGRAM ACTIVITIES FOR FISCAL Y,191039
2017,NM,ASST_NON_00665318_6800,66.7,DEPARTMENT OF AGRICULTURE NEW MEXICO,,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATION OF PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS IN THE STATE OF NEW MEXICO THAT WILL INCLUDE, BUT ARE NOT LIMITED TO, COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, AND OUTREACH AND EDUCATION.  THIS AGREEMENT WILL RESULT IN  REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES.",291765
2017,NM,ASST_NON_01F34901_6800,66.716,"EIGHT NORTHERN INDIAN PUEBLOS COUNCIL, INC.",,"THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO CONTINUE ASSESSING THE NEEDS, RISKS AND ENVIRONMENTAL EFFECTS OF THE TRIBES AND PUEBLOS. THIS AGREEMENT ASSIST WITH EDUCATING TRIBES AND PUEBLOS AFFECTED BY IDENTIFIED SUBSTANCES AND PROVIDE OUTREACH AND TECHNICAL ASSISTANCE TO SUPPORT TRIBES AND PUEBLOS IN ORDER TO PROTECT THE HUMAN HEALTH AND THE ENVIRONMENT.",42105
2017,NY,ASST_NON_00215237_6800,66.7,DEPARTMENT OF ENVIRONMENTAL CONSERVATION NEW YORK,,THIS COOPERATIVE AGREEMENT IS DESIGNED TO IMPLEMENT AND ESTABLISH AGRICULTURAL WORKER PROTECTION AND PESTICIDE ENFORCEMENT PROGRAMS IN THE STATE OF N,345794
2017,NY,ASST_NON_00214637_6800,66.7,DEPARTMENT OF ENVIRONMENTAL CONSERVATION NEW YORK,,THIS COOPERATIVE AGREEMENT IS DESIGNED TO IMPLEMENT AND ESTABLISH AGRICULTURAL WORKER PROTECTION AND PESTICIDE PROGRAMS IN THE STATE OF NEW YORK.  TH,199617
2017,NY,ASST_NON_00214638_6800,66.7,DEPARTMENT OF ENVIRONMENTAL CONSERVATION NEW YORK,,"THIS AGREEMENT PROVIDES FUNDING FOR THE NEW YORK STATE DEPARTMENT OF CONSERVATION (NYSDEC) TO IMPLEMENT ITS CONSOLIDATED PESTICIDES PROGRAM. THIS INCLUDES THE CERTIFICATION AND TRAINING PROGRAM FOR PESTICIDE APPLICATORS IN NEW YORK.  CERTIFICATION IS NEEDED FOR USE OF RESTRICTED USE PESTICIDES AND ENSURES THE SAFETY OF THE APPLICATOR, AND THE GENERAL PUBLIC FROM IMPROPER PESTICIDE APPLICATIONS.  IT ALSO INCLUDES THE SPECIAL PESTICIDES INITIATIVES THAT COVER THE WORKER PROTECTION, WATER QUALITY PROTECTION, AND THE ENDANGERED SPECIES PROTECTION PROGRAMS.",64116
2017,NY,ASST_NON_00215238_6800,66.7,DEPARTMENT OF ENVIRONMENTAL CONSERVATION NEW YORK,,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO IMPLEMENT AND ESTABLISH AGRICULTURAL WORKER PROTECTION AND PESTICIDE ENFORCEMENT PROGRAMS IN THE STATE OF NEW YORK. THESE ENFORCEMENT PROGRAMS WILL INCLUDE COMPLIANCE AND ENFORCEMENT ACTIVITIES SUCH AS BUT NOT LIMITED TO: PRODUCT COMPLIANCE, OUTREACH, TRAINING, ENFORCEMENT OF UNREGISTERED PESTICIDES, INSPECTIONS, GROUNDWATER SAMPLING, ETC. THIS AGREEMENT WILL RESULT IN THE ENHANCED PROTECTION OF AGRICULTURAL WORKERS AND HELP PROTECT GROUNDWATER FROM PESTICIDE CONTAMINATION.",44519
2017,ND,ASST_NON_96843001_6800,66.7,NORTH DAKOTA STATE UNIVERSITY,,THIS AWARD PROVIDES FNDS TO DEVELOP AND MAINTAIN A COMPREHENSIVE PESTICIDE APPLICATOR PROGRAM ADDRESSING ALL ASPECTS OF PESTICIDE APPLICATOR CERTIFICATION AND TRAINING,51000
2017,OK,ASST_NON_00635418_6800,66.7,DEPARTMENT OF AGRICULTURE FOOD & FORESTRY OKLAHOMA,,"FY 2018 COOPERATIVE AGREEMENT WITH OKLAHOMA DEPARTMENT OF AGRICULTURE, FOOD, AND FORESTRY(ODAFF) FOR PESTICIDE PROGRAMS INCLUDING ENFORCEMENT, APPLICATOR CERTIFICATION AND TRAINING, WORKER PROTECTION STANDARD, PESTICIDES IN WATER, POLLINATOR PROTECTION, AND PESTICIDE DRIFT. THE PURPOSE OF THIS PROJECT IS TO ADMINISTER A COMPREHENSIVE AND EFFECTIVE STATE PESTICIDE REGULATORY PROGRAM AND TO MAINTAIN AN EFFECTIVE PESTICIDE ENFORCEMENT PROGRAM.",291765
2017,OK,ASST_NON_00635417_6800,66.7,DEPARTMENT OF AGRICULTURE FOOD & FORESTRY OKLAHOMA,,"FY  2017 COOPERATIVE AGREEMENT WITH OKLAHOMA DEPARTMENT OF AGRICULTURE FOOD AND FORESTRY FOR ENFORCEMENT, APPLICATOR CERTIFICATION, WORKER PROTECTION",305392
2017,OR,ASST_NON_83560101_6800,66.716,OREGON STATE UNIVERSITY,,THIS PROGRAM WILL FACILITATE INFORMED DECISION-MAKING ABOUT PESTICIDES AND SUPPORT THE PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT BY SERVING AS A,1025000
2017,OR,ASST_NON_00051118_6800,66.7,OREGON DEPT OF AGRICULTURE,,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATON OF PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS THAT COULD INCLUDE, BUT ARE NOT LIMITED TO, ACTIVITIES SUCH AS COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTITCIDE APPLICATORS, WATER QUALITY PROTECTION, WORKER PROTECTION, AND OUTREACH AND EDUCATION.  THIS AGREEMENT WILL RESULT IN THE ENHANCED PROTECTION OF HUMAN HEALTH AND THE ENVIRONMENT.",445050
2017,SC,ASST_NON_98463617_6800,66.7,CLEMSON UNIVERSITY,,"THIS ACTION PROVIDES PARTIAL FUNDING IN THE AMOUNT OF $35,832 TO CLEMSON UNIVERSITY FOR THEIR PESTICIDES ENFORCEMENT PROGRAM. THE GRANT WILL PROTECT",168895
2017,SC,ASST_NON_98463717_6800,66.7,CLEMSON UNIVERSITY,,"THIS ACTION PROVIDES PARTIAL FUNDING IN THE AMOUNT OF $31,167 TO CLEMSON UNIVERSITY WHICH SUPPORTS THE UNIVERSITY'S ONGOING COMPREHENSIVE REGULATORY",198842
2017,SC,ASST_NON_98463817_6800,66.7,CLEMSON UNIVERSITY,,"THIS ACTION PROVIDES PARTIAL FUNDING IN THE AMOUNT OF $35,915 TO CLEMSON UNIVERSITY WHICH CONTINUES THE AGENCY'S SUPPORT FOR THEIR ONGOING CERTIFICAT",115937
2017,SD,ASST_NON_96862801_6800,66.7,CHEYENNE RIVER SIOUX TRIBE,PROJECT GRANT,"TO PERFORM PESTICIDE INSPECTIONS, COMPLIANCE ASSISTANCE, AND PESTICIDE PROGRAM OUTREACH AS OUTLINED IN THE FEDERAL INSECTICIDE, FUNGICIDE AND RODENTIDICE ACT (FIFRA), TO TRIBES IN SOUTH DAKOTA AND NORTH DAKOTA BY 2 CIRCUIT RIDERS.  ATTEND TRAINING IN SUPPORT OF PESTICIDE PROGRAM IMPLEMENTATION AND TO MAINTAIN OR OBTAIN FEDERAL INSPECTOR CREDENTIALS.",201658
2017,TX,ASST_NON_00635518_6800,66.7,"AGRICULTURE, TEXAS DEPARTMENT OF",PROJECT GRANT,"THIS COOPERATIVE AGREEMENT IS DESIGNED TO CONTINUE IMPLEMENTATION OF PESTICIDE REGULATORY AND ENFORCEMENT PROGRAMS IN THE STATE OF TEXAS SUCH AS: COMPLIANCE MONITORING, ENFORCEMENT, CERTIFICATION AND TRAINING FOR PESTICIDE APPLICATORS, WORKER PROTECTION SAFETY, AND OUTREACH AND EDUCATION.  THIS AGREEMENT WILL RESULT IN REDUCED PESTICIDE EXPOSURE TO AGRICULTURAL WORKERS AND HANDLERS, PROTECTION OF WATER RESOURCES FROM PESTICIDES, AND PROTECTION OF ENDANGERED SPECIES.",241826
2017,TX,ASST_NON_00635517_6800,66.7,"AGRICULTURE, TEXAS DEPARTMENT OF",,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO FUND THE TEXAS DEPARTMENT OF AGRICULTURE'S CONTINUING PESTICIDES PROGRAM ACTIVITIES FOR FISCAL YEAR 2,834633
