Year,State,Generated Internal ID,CFDA Number,Recipient,Type Description,Description,Total Obligation
2008,CA,ASST_NON_96982401_6800,66.716,"UNIVERSITY OF CALIFORNIA, BERKELEY",,"THIS PROJECT WILL INVESTIGATE THE POTENTIAL USE OF ""HARVESTABLE HEDGEROWS"", SUCH AS HERBS AND CUT FLOWERS TO PROMOTE SUSTAINABLE PRACTICES IN ROMAI",100000
2008,CA,ASST_NON_96999001_6800,66.716,CITY OF SOUTH SAN FRANCISCO,,THIS ASSISTANCE AGREEMENT WILL  PROVIDE OUTREACH TO INCREASE AWARENESS ON THE DANGERS OF LEAD AND HOW TO ENSURE LEAD-SAFE HOMES; PROVIDE TRAINING ON,0
2008,CA,ASST_NON_96949801_6800,66.716,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,,THE PROJECT IS TO ASSIST CALIFORNIA'S TABLE GRAPE GROWERS IN ADDRESSING CRITICAL PEST MANAGEMENT ISSUES AS THEY TRANSITION AWAY FROM HIGH RISK PESTI,0
2008,CA,ASST_NON_96923801_6800,66.716,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,,IN THIS PROJECT RESEARCHERS WILL WORK WITH CANNING-PEACH GROWERS IN THE CENTRAL VALLEY OF CALIFORNIA TO ADOPT BIORATIONAL TECHNIQUES THAT REDUCE THE,99000
2008,CA,ASST_NON_96922701_6800,66.716,CAL POLY CORPORATION,,THIS PROJECT WILL EMPLOY PHEROMONE MATING DISRUPTION IN COMBINATION WITH REDUCED RISK INSECTICIDES TO MANAGE THE PEST CITRUS LEAFMINER ON YOUNG CITR,99000
2008,CA,ASST_NON_96958301_6800,66.714,"UNIVERSITY OF CALIFORNIA, DAVIS",,THE PROPOSED PROJECT RESEARCHERS WILL ESTABLISH A WEBSITE TEMPLATE FOR THE PESTICIDE USE RISK EVALUATION (PURE) MODEL WHICH ALLOWS USERS TO QUANTITA,50500
2008,CA,ASST_NON_96958201_6800,66.714,"UNIVERSITY OF CALIFORNIA, BERKELEY",,THE PROJECT WILL DEMONSTRATE TO DOZENS OF FARMERS THE EFFECTIVENESS OF SPECIFIC AGROECOLOGICAL MANAGEMENT AND BIODIVERSIFICATION STRATEGIES (E.G. WI,50485
2008,CA,ASST_NON_98947401_6800,66.716,HABEMATOLEL POMO OF UPPER LAKE,,"THIS GRANT AGREEMENT AIMS TO REDUCE THE RISK TO MEMBERS OF THE HABEMATOLEL POMO OF UPPER LAKE TRIBE FROM PESTICIDE EXPOSURE FROM MIDDLE CREEK, AN I",50000
2008,CA,ASST_NON_96956701_6800,66.716,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,,THIS PROJECT WILL INTRODUCE AND FACILITATE THE ADOPTION OF ALTERNATIVE RICE STAND ESTABLISHMENT TECHNIQUES TO REDUCE THE DEPENDENCE ON HERBICIDES IN,49983
2008,CO,ASST_NON_97875701_6800,66.714,COLORADO STATE UNIVERSITY,,THE PURPOSE OF THIS PROJECT WILL BE TO FACILITATE THE IMPLEMENTATION OF VERIFIABLE IPM PROGRAMS IN SCHOOLS TO REDUCE PESTS AND PESTICIDE APPLICATION,43013
2008,CO,ASST_NON_97875901_6800,66.714,COLORADO STATE UNIVERSITY,,THE PURPOSE OF THE PROPOSED PROJECT IS TO INCREASE ONION PRODUCTION BY MANAGING SOIL-BORNE PATHOGENS AND SUPPLEMENTING PLANT NUTRIENTS AND TO DECREA,25093
2008,CT,ASST_NON_97169901_6800,66.716,CITY OF HARTFORD,,"PER YOUR APPLICATION REQEUST DATED JUNE 19, 2007, THIS COOPERATIVE AGREEMENT IS BEING AWARDED TO PROVIDE FUNDS FOR THE CITY OF HARTFORD, CONNECTICUT",0
2008,DE,ASST_NON_83347301_6800,66.716,ASSOCIATION OF AMERICAN PESTICIDE CONTROL OFFICIALS INC,,"THE PURPOSE OF SFIREG  TO IDENTIFY, EVALUATE AND RECOMMEND SOLUTIONS TO ISSUES THAT RESULT FROM THE IMPLEMENTATION OF FIFRA BY STATE REGULATORY PROG",140000
2008,FL,ASST_NON_83411001_6800,66.716,UNIVERSITY OF FLORIDA,,THE COOPERATIVE AGREEMENT MAINTAINS FUNDING FOR A PRIA2 PARTNERSHIP GRANT IN SUPPORT OF REDUCED PESTICIDE USE FOR BEMISIA TABACI AND GREENHOUSE WHIT,246418
2008,FL,ASST_NON_96498708_6800,66.716,"FLORIDA CERTIFIED ORGANIC GROWERS & CONSUMERS, INC.",,"THIS ACTION APPROVES AN AWARD IN THE AMOUNT OF $168,287 TO THE FLORIDA CERTIFIED ORGANIC GROWERS AND CONSUMERS, INC. TO ASSIST LARGE-SCALE CONVENTI",168287
