 ,establishments-2014,establishments-2015,establishments-2016,establishments-2017,establishments-2018,establishments-2019,inspections-epa-2011,inspections-state-2011,violations-2011,actions-epa-2011,actions-state-2011,penalties-epa-2011,inspections-epa-2012,inspections-state-2012,violations-2012,actions-epa-2012,actions-state-2012,penalties-epa-2012,inspections-epa-2013,inspections-state-2013,violations-2013,actions-epa-2013,actions-state-2013,penalties-epa-2013,inspections-epa-2014,inspections-state-2014,violations-2014,actions-epa-2014,actions-state-2014,penalties-epa-2014,inspections-epa-2015,inspections-state-2015,violations-2015,actions-epa-2015,actions-state-2015,penalties-epa-2015,inspections-epa-2016,inspections-state-2016,violations-2016,actions-epa-2016,actions-state-2016,penalties-epa-2016,inspections-epa-2017,inspections-state-2017,violations-2017,actions-epa-2017,actions-state-2017,penalties-epa-2017,inspections-epa-2018,inspections-state-2018,violations-2018,actions-epa-2018,actions-state-2018,penalties-epa-2018,inspections-epa-2019,inspections-state-2019,violations-2019,actions-epa-2019,actions-state-2019,penalties-epa-2019
Virgin Islands,,0,,,,1,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,2,0, ,,0,,,0,,,0,,,,,,,,,0,,,0,,,0,,,,
Virginia,120,113,118,123,123,121,,46,1,1,0,0,,33,,,0,,2,33,,,0,,,40,,,0,,1,42,4,3,0,24772,2,26,3,3,0,400,7,13,19,16,0,9200,4,28,4,4,0,,1,28,6,5,,59208
Washington,232,230,231,220,220,235,15,10,5,5,5,11140,16,8,9,7,0,38940,12,8,5,5,0,302976,12,7,5,5,4,302976,8,8,2,2,2,10800,13,6,6,5,2,3600,15,6,15,14,2,1740,10,7,15,13,6,54654,17,5,17,13,3,68180
West Virginia,42,40,38,38,38,38,,6,6,3,0,485000,,6,,,0,,,6,,,0,,4,6,,,0,, ,5,0,,0,,1,5,1,1,0,800,,6,5,5,0,0,3,6,2,2,0,,,6,2,1,,0
White Earth Nation,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,, ,0,,,0,,,,,,,,,,,,0,,,0,,,0,,,,,,,
Wisconsin,350,366,360,373,373,399,4,19,12,12,4,22500,3,47,14,13,11,37500,,48,5,5,12,10600,1,140,5,5,23,10600,4,146,10,9,22,297285,,130,6,6,8,4920,,169,10,8,9,15302,1,186,38,36,34,139200,6,161,25,22,21,123405
Wyoming,18,21,19,20,20,29,54,,2,2,,0,53,,4,4,,550,29,,,,,,29,,,,,,19,,1,1,,4000,9,,2,2,,,29,,1,1,,2000,13,,2,2,,4512,17,,3,2,,0
Yakama Nation,,0,,,,,,0,,,0,,,4,,,3,,,0,,,0,,,0,,,0,,,0,, ,0,,,,,,,,,1,,,0,,,0,,,0,,,,,,,
Region 01,174,300,,,,,18,33,20,15,15,815393,25,32,21,22,4,28785,13,32,15,9,5,2965410,11,26,15,9,2,2965410,10,25,10,8,0,683040,,,,,,,,,,,,,,,,,,,,,,,,
Region 02,400,297,,,,,107,1,18,16,1,511429,267,0,36,32,0,147300,92,2,24,19,0,288595,77,6,20,15,0,288595,85,0,14,12,0,116400,,,,,,,,,,,,,,,,,,,,,,,,
