state,year,Association / Joint Employer,Farm Labor Contractor,Owner / Operator (Direct),total_certified,pct_Farm Labor Contractor,pct_Owner / Operator (Direct),pct_Association / Joint Employer
PA,2021,93.0,481.0,1923.0,2497.0,19.3,77.0,3.7
RI,2021,0.0,0.0,4.0,4.0,0.0,100.0,0.0
SC,2021,16.0,1387.0,5439.0,6842.0,20.3,79.5,0.2
SD,2021,0.0,827.0,1145.0,1972.0,41.9,58.1,0.0
TN,2021,6.0,891.0,4828.0,5725.0,15.6,84.3,0.1
TX,2021,333.0,3080.0,5140.0,8553.0,36.0,60.1,3.9
UT,2021,2.0,6.0,1559.0,1567.0,0.4,99.5,0.1
VA,2021,19.0,207.0,4378.0,4604.0,4.5,95.1,0.4
VT,2021,0.0,0.0,485.0,485.0,0.0,100.0,0.0
WA,2021,3530.0,2306.0,22891.0,28727.0,8.0,79.7,12.3
WI,2021,14.0,1077.0,1238.0,2329.0,46.2,53.2,0.6
WV,2021,0.0,0.0,268.0,268.0,0.0,100.0,0.0
WY,2021,0.0,51.0,551.0,602.0,8.5,91.5,0.0
AK,2022,0.0,0.0,54.0,54.0,0.0,100.0,0.0
AL,2022,49.0,334.0,1789.0,2172.0,15.4,82.4,2.3
AR,2022,175.0,188.0,6106.0,6469.0,2.9,94.4,2.7
AZ,2022,0.0,11054.0,2677.0,13731.0,80.5,19.5,0.0
CA,2022,61.0,32385.0,11314.0,43760.0,74.0,25.9,0.1
CO,2022,267.0,408.0,3437.0,4112.0,9.9,83.6,6.5
CT,2022,0.0,224.0,1134.0,1358.0,16.5,83.5,0.0
DE,2022,0.0,647.0,170.0,817.0,79.2,20.8,0.0
FL,2022,151.0,38260.0,12562.0,50973.0,75.1,24.6,0.3
GA,2022,261.0,23555.0,11158.0,34974.0,67.4,31.9,0.7
HI,2022,0.0,123.0,145.0,268.0,45.9,54.1,0.0
IA,2022,0.0,4246.0,1048.0,5294.0,80.2,19.8,0.0
ID,2022,1369.0,287.0,4903.0,6559.0,4.4,74.8,20.9
IL,2022,0.0,2826.0,1568.0,4394.0,64.3,35.7,0.0
IN,2022,28.0,3662.0,990.0,4680.0,78.2,21.2,0.6
KS,2022,0.0,865.0,1184.0,2049.0,42.2,57.8,0.0
KY,2022,14.0,587.0,7208.0,7809.0,7.5,92.3,0.2
LA,2022,709.0,1787.0,11274.0,13770.0,13.0,81.9,5.1
MA,2022,4.0,0.0,530.0,534.0,0.0,99.3,0.7
MD,2022,7.0,390.0,1121.0,1518.0,25.7,73.8,0.5
ME,2022,8.0,140.0,1156.0,1304.0,10.7,88.7,0.6
MI,2022,505.0,9451.0,5568.0,15524.0,60.9,35.9,3.3
MN,2022,0.0,859.0,2596.0,3455.0,24.9,75.1,0.0
MO,2022,10.0,705.0,1254.0,1969.0,35.8,63.7,0.5
MS,2022,95.0,823.0,6176.0,7094.0,11.6,87.1,1.3
MT,2022,16.0,152.0,1294.0,1462.0,10.4,88.5,1.1
NC,2022,364.0,9892.0,15368.0,25624.0,38.6,60.0,1.4
ND,2022,34.0,226.0,2524.0,2784.0,8.1,90.7,1.2
NE,2022,0.0,1977.0,1381.0,3358.0,58.9,41.1,0.0
NH,2022,0.0,0.0,290.0,290.0,0.0,100.0,0.0
NJ,2022,0.0,505.0,2641.0,3146.0,16.1,83.9,0.0
NM,2022,0.0,614.0,1176.0,1790.0,34.3,65.7,0.0
NV,2022,169.0,84.0,3053.0,3306.0,2.5,92.3,5.1
NY,2022,524.0,167.0,9185.0,9876.0,1.7,93.0,5.3
OH,2022,64.0,1522.0,2852.0,4438.0,34.3,64.3,1.4
