state,year,violations,time,time2,time3,spending_2017,spending_2017m
Nebraska,2013,10.0,-4,16,-64,72586.80013908146,0.07258680013908146
New York,2013,5.0,-4,16,-64,324020.0682529394,0.3240200682529394
North Carolina,2013,18.0,-4,16,-64,121003.25330425786,0.12100325330425786
North Dakota,2013,1.0,-4,16,-64,634107.8059899466,0.6341078059899465
Oklahoma,2013,2.0,-4,16,-64,319248.2897702151,0.31924828977021513
Oregon,2013,7.0,-4,16,-64,783921.6583317951,0.7839216583317952
Pennsylvania,2013,6.0,-4,16,-64,52610.56761548269,0.05261056761548269
South Carolina,2013,2.0,-4,16,-64,500172.8751658031,0.5001728751658031
Texas,2013,5.0,-4,16,-64,836548.0091175624,0.8365480091175624
Washington,2013,5.0,-4,16,-64,857215.5444996287,0.8572155444996287
Alabama,2014,1.0,-3,9,-27,945635.1797783185,0.9456351797783185
Arizona,2014,2.0,-3,9,-27,258853.74425520413,0.25885374425520413
Arkansas,2014,2.0,-3,9,-27,449012.8818599622,0.4490128818599622
California,2014,9.0,-3,9,-27,609265.0932684509,0.6092650932684509
Colorado,2014,1.0,-3,9,-27,0.0,0.0
Florida,2014,22.0,-3,9,-27,67301.97350635307,0.06730197350635307
Georgia,2014,17.0,-3,9,-27,0.0,0.0
Idaho,2014,4.0,-3,9,-27,577295.6204379563,0.5772956204379563
Indiana,2014,4.0,-3,9,-27,655013.8686131388,0.6550138686131388
Kansas,2014,2.0,-3,9,-27,0.0,0.0
Massachusetts,2014,8.0,-3,9,-27,379583.13057583134,0.3795831305758313
Michigan,2014,8.0,-3,9,-27,283204.6336847797,0.2832046336847797
Minnesota,2014,12.0,-3,9,-27,226171.9059205191,0.22617190592051908
Montana,2014,2.0,-3,9,-27,222713.61989726956,0.22271361989726957
Nebraska,2014,10.0,-3,9,-27,77160.15950256826,0.07716015950256826
New York,2014,5.0,-3,9,-27,552971.6517977832,0.5529716517977832
North Carolina,2014,18.0,-3,9,-27,67301.97350635307,0.06730197350635307
North Dakota,2014,1.0,-3,9,-27,44911.12462827792,0.04491112462827792
Oklahoma,2014,2.0,-3,9,-27,609593.3198161665,0.6095933198161665
Oregon,2014,7.0,-3,9,-27,1511372.4628277915,1.5113724628277914
Pennsylvania,2014,6.0,-3,9,-27,0.0,0.0
South Carolina,2014,2.0,-3,9,-27,520001.9680994864,0.5200019680994864
Texas,2014,5.0,-3,9,-27,1306911.138145445,1.306911138145445
Washington,2014,5.0,-3,9,-27,833695.431197621,0.833695431197621
Alabama,2015,2.0,-2,4,-8,75495.68174434744,0.07549568174434744
Alaska,2015,0.0,-2,4,-8,71821.21383698215,0.07182121383698215
Arizona,2015,6.0,-2,4,-8,0.0,0.0
Arkansas,2015,1.0,-2,4,-8,551012.9896167786,0.5510129896167786
California,2015,21.0,-2,4,-8,298591.6264234211,0.2985916264234211
Colorado,2015,2.0,-2,4,-8,20283.517891121734,0.020283517891121733
Florida,2015,25.0,-2,4,-8,108589.67922132167,0.10858967922132166
Idaho,2015,2.0,-2,4,-8,706408.9573321744,0.7064089573321745
Indiana,2015,10.0,-2,4,-8,717642.3011007649,0.7176423011007649
Louisiana,2015,2.0,-2,4,-8,616300.2073269006,0.6163002073269006
Maine,2015,0.0,-2,4,-8,379151.72396916675,0.37915172396916674
Massachusetts,2015,7.0,-2,4,-8,431419.5562343629,0.4314195562343629
Michigan,2015,11.0,-2,4,-8,53538.84860579621,0.053538848605796205
Minnesota,2015,6.0,-2,4,-8,281938.10638055496,0.28193810638055494
Montana,2015,1.0,-2,4,-8,277947.1771223161,0.2779471771223161
Nebraska,2015,7.0,-2,4,-8,77096.60387229608,0.07709660387229608
Nevada,2015,0.0,-2,4,-8,5136.8089208790925,0.005136808920879092
New Hampshire,2015,0.0,-2,4,-8,319012.6912415565,0.3190126912415565
New Mexico,2015,2.0,-2,4,-8,517254.0096280013,0.5172540096280013
New York,2015,9.0,-2,4,-8,657131.9950889598,0.6571319950889598
North Carolina,2015,19.0,-2,4,-8,108589.67922132167,0.10858967922132166
North Dakota,2015,0.0,-2,4,-8,86688.69220351282,0.08668869220351283
Oklahoma,2015,1.0,-2,4,-8,677220.0515574832,0.6772200515574831
Oregon,2015,8.0,-2,4,-8,2052623.1336992704,2.0526231336992704
Pennsylvania,2015,26.0,-2,4,-8,0.0,0.0
South Carolina,2015,3.0,-2,4,-8,560428.2318989777,0.5604282318989776
South Dakota,2015,0.0,-2,4,-8,461745.033984904,0.461745033984904
Texas,2015,16.0,-2,4,-8,1415511.9728964588,1.415511972896459
Vermont,2015,0.0,-2,4,-8,377030.60556837695,0.377030605568377
Washington,2015,2.0,-2,4,-8,906949.2743558479,0.9069492743558478
Alabama,2016,8.0,-1,1,-1,714912.4817192832,0.7149124817192831
Alaska,2016,2.0,-1,1,-1,1039691.0943430817,1.0396910943430817
Arizona,2016,3.0,-1,1,-1,0.0,0.0
Arkansas,2016,4.0,-1,1,-1,569760.7366451812,0.5697607366451812
California,2016,46.0,-1,1,-1,0.0,0.0
Colorado,2016,2.0,-1,1,-1,251277.43907469366,0.25127743907469363
Connecticut,2016,1.0,-1,1,-1,22213.352110563443,0.022213352110563443
Idaho,2016,1.0,-1,1,-1,611423.7934726904,0.6114237934726904
Illinois,2016,36.0,-1,1,-1,20238.151053927595,0.020238151053927594
Indiana,2016,14.0,-1,1,-1,603208.4277541905,0.6032084277541905
Louisiana,2016,1.0,-1,1,-1,483678.1247213623,0.4836781247213623
Maine,2016,1.0,-1,1,-1,443501.0645522839,0.4435010645522839
Massachusetts,2016,13.0,-1,1,-1,740700.3962384431,0.7407003962384431
Michigan,2016,12.0,-1,1,-1,0.0,0.0
Minnesota,2016,5.0,-1,1,-1,158302.04952355556,0.15830204952355556
Montana,2016,1.0,-1,1,-1,207109.12465053104,0.20710912465053105
Nebraska,2016,1.0,-1,1,-1,48001.2666297233,0.0480012666297233
Nevada,2016,8.0,-1,1,-1,67916.6857633319,0.0679166857633319
New Hampshire,2016,1.0,-1,1,-1,364860.6915631628,0.36486069156316275
New Mexico,2016,2.0,-1,1,-1,446077.8133971093,0.4460778133971093
New York,2016,16.0,-1,1,-1,586412.0696479686,0.5864120696479687
North Carolina,2016,172.0,-1,1,-1,0.0,0.0
Ohio,2016,9.0,-1,1,-1,35745.62408596416,0.03574562408596416
Oklahoma,2016,1.0,-1,1,-1,573680.4996520935,0.5736804996520936
Oregon,2016,12.0,-1,1,-1,1585063.1023261822,1.585063102326182
Pennsylvania,2016,43.0,-1,1,-1,0.0,0.0
South Carolina,2016,20.0,-1,1,-1,398660.7323953051,0.39866073239530514
Texas,2016,24.0,-1,1,-1,1040641.9279437683,1.0406419279437684
Washington,2016,6.0,-1,1,-1,1224791.127592112,1.224791127592112
Arkansas,2017,7.0,0,0,0,509359.0,0.509359
California,2017,44.0,0,0,0,390000.0,0.39
Colorado,2017,5.0,0,0,0,7959.0,0.007959
Idaho,2017,9.0,0,0,0,548670.0,0.54867
Illinois,2017,84.0,0,0,0,0.0,0.0
Indiana,2017,37.0,0,0,0,880386.0,0.880386
Kentucky,2017,2.0,0,0,0,1500000.0,1.5
Louisiana,2017,4.0,0,0,0,468228.0,0.468228
Maine,2017,1.0,0,0,0,351000.0,0.351
Massachusetts,2017,25.0,0,0,0,392000.0,0.392
Michigan,2017,25.0,0,0,0,20000.0,0.02
Minnesota,2017,43.0,0,0,0,140000.0,0.14
Montana,2017,14.0,0,0,0,214000.0,0.214
Nebraska,2017,9.0,0,0,0,3000.0,0.003
Nevada,2017,1.0,0,0,0,0.0,0.0
New Hampshire,2017,2.0,0,0,0,298000.0,0.298
New Mexico,2017,1.0,0,0,0,524909.0,0.524909
New York,2017,11.0,0,0,0,654046.0,0.654046
Oklahoma,2017,5.0,0,0,0,597157.0,0.597157
Oregon,2017,23.0,0,0,0,1470050.0,1.47005
South Carolina,2017,19.0,0,0,0,483674.0,0.483674
South Dakota,2017,2.0,0,0,0,201658.0,0.201658
Texas,2017,57.0,0,0,0,1076459.0,1.076459
Vermont,2017,1.0,0,0,0,317000.0,0.317
Washington,2017,15.0,0,0,0,1341170.0,1.34117
Arkansas,2018,4.0,1,1,1,517017.9545771325,0.5170179545771325
California,2018,63.0,1,1,1,512482.7264871151,0.5124827264871151
Colorado,2018,1.0,1,1,1,9761.575742611716,0.009761575742611717
Idaho,2018,4.0,1,1,1,531908.2622149123,0.5319082622149124
Indiana,2018,14.0,1,1,1,599416.3915780922,0.5994163915780922
Kentucky,2018,2.0,1,1,1,976157.5742611715,0.9761575742611716
Louisiana,2018,2.0,1,1,1,537368.8876853294,0.5373688876853294
Maine,2018,1.0,1,1,1,305537.3207437467,0.30553732074374673
Maryland,2018,6.0,1,1,1,161065.99975309332,0.16106599975309333
