cell,outcome,model,sigma2_u0_rs,sigma2_u1_rs,sigma_u01_rs,theta,sigma2_u0_ri,icc_ri,mu_fixed,delta_pct_ri,delta_pct_ri_matched,n_obs,n_states
insp_2021,inspections,M1,1.1608773175,0.0060176484315,0.030749409056,4.1093825549,1.106941252,0.8215276245958444,35.0753854932,0.0,-13.316207053012842,539,49
insp_2021,inspections,M2,1.0158596157,0.0060018596253,0.029756157892,4.0902954107,0.93888603784,0.7970754925728413,39.1659513358,15.181945189626008,3.8873973927386896,506,46
insp_2021,inspections,M3,0.98939091943,0.0058256256321,0.026266470314,4.156817968,0.92660534202,0.7970228957344342,39.0968499715,16.291371349127385,5.144557036739554,506,46
viol_cov_2021,violations,M1,1.5802711856,0.029914951841,0.12417910428,1.4936096915,1.0864346656,0.6586223632323978,11.5437403053,0.0,2.243563355856949,533,49
viol_cov_2021,violations,M2,1.3716318057,0.025295115597,0.10246732366,1.5331348011,0.97255401349,0.6378656736340491,11.8037575675,10.48205250769567,12.490444374548277,501,46
viol_cov_2021,violations,M3,1.2240642395,0.024211942986,0.096399222567,1.55194145,0.87279776001,0.6143783215791915,11.7471176195,19.664036168435008,21.466424414534494,501,46
