dv,model,n_obs,n_states,sigma2_u0,sigma2_u1,sigma_u01,corr_u01,sigma2_e,icc,vpc_2011,vpc_2012,vpc_2013,vpc_2014,vpc_2015,vpc_2016,vpc_2017,vpc_2018,vpc_2019
inspections,M1,450,50,770.4645524652773,14.893592099377328,78.8371167865647,0.7359607851389636,133.66293828286385,0.8521636166905384,0.7295648794090187,0.7261544779066162,0.7388008269335231,0.7634900120564184,0.7938424631809603,0.8244388370290716,0.8521636166905384,0.8758581594585074,0.8954982962473684
inspections,M2,351,39,812.6357094729265,24.308719068295567,97.77805847970934,0.6956846500061312,136.18525972874045,0.8564689607952847,0.7906768426691873,0.7646940953611641,0.7548579063356357,0.7655741582994667,0.7920656720275625,0.8248586825048464,0.8564689607952847,0.8834714521906843,0.9052405479349399
inspections,M3,351,39,821.1992416987786,22.84027436211548,95.85805792562691,0.6999285326515364,137.2451448914906,0.8568042686548047,0.7822879532769406,0.7595862723861212,0.7536101356914384,0.7669301827891608,0.794041635959538,0.8261770358722791,0.8568042686548047,0.8829965439021482,0.9042411852659693
violations,M1,394,50,188.0850034856046,4.562693035106135,29.272962991567198,0.9992610813951573,115.54877416922525,0.6194469038929497,0.009144580771893148,0.07539880242172682,0.18886480077661869,0.3165230558939106,0.4357768836771928,0.5371579328820218,0.6194469038929497,0.6849320525321475,0.7367767977833171
violations,M2,320,39,154.2380942911169,3.832459737355827,24.312780170723542,0.9999999943265596,140.31615324437075,0.5236322191298036,0.0032200369627280166,0.04701088627336301,0.13047673680337607,0.23395545187158806,0.3401016031774699,0.4381986351027114,0.5236322191298036,0.5956449775996556,0.6553573585039086
violations,M3,320,39,151.67504904194612,3.752061502563078,23.847701013329086,0.99966496519639,139.93765468526985,0.5201249709060272,0.004105277042824251,0.04763650721855204,0.13008761819509554,0.23235626097971748,0.3375109682757322,0.4349819740502062,0.5201249709060272,0.5920900528779065,0.6519065590353452
