cell,window,outcome,model,family,family_label,converged,zi_tier_reached,zi_degenerate,zi_degenerate_reason,collapsed_to,eligible,n_obs,n_states,n_years,aic,bic,loglik,df,delta_aic_to_winner,is_winner,obs_zeros,exp_zeros,exp_zeros_se,message
insp_2021,2021,inspections,M3,zinb2,ZI-NB2,True,mirror,False,,,True,506,46,11,4585.7253936399,4682.9357370335,-2269.8626968199,23,0.0,True,7,7.185,0.059372974282,
insp_2021,2021,inspections,M3,zinb1_re,ZI-NB1 + ZI-RE,False,intercept,False,,,False,506,46,11,,,,15,,False,7,18.56,0.15362617127,"NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')"
insp_2021,2021,inspections,M3,zinb2_re,ZI-NB2 + ZI-RE,True,mirror,False,,,True,506,46,11,4587.725255773,4689.1621358359,-2269.8626278865,24,1.9998621330996684,False,7,7.213,0.061038334997,
viol_2019,2019,violations,M1,poisson,Poisson,True,,False,,,True,394,50,9,2906.2218027031,2934.0562590682,-1446.1109013516,7,524.0681913874,False,10,24.785,0.17154620821,NA/NaN function evaluation
viol_2019,2019,violations,M1,nbinom1,NB1,True,,False,,,True,394,50,9,2475.9853353933,2507.7961426677,-1229.9926676967,8,93.83172407760003,False,10,43.311,0.21454056336,NA/NaN function evaluation
viol_2019,2019,violations,M1,nbinom2,NB2,True,,False,,,True,394,50,9,2382.1536113157,2413.96441859,-1183.0768056578,8,0.0,True,10,29.387,0.17133386456,
viol_2019,2019,violations,M1,zip,ZIP,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,394,50,9,2908.2218030423,2940.0326103167,-1446.1109015211,8,526.0681917266002,False,10,24.478,0.17175129477,NA/NaN function evaluation
viol_2019,2019,violations,M1,zinb1,ZI-NB1,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,394,50,9,2477.9853356068,2513.7724937905,-1229.9926678034,9,95.83172429110027,False,10,43.172,0.21433193203,NA/NaN function evaluation
viol_2019,2019,violations,M1,zinb2,ZI-NB2,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,394,50,9,2384.1536115657,2419.9407697494,-1183.0768057828,9,2.0000002500000846,False,10,29.7575,0.17534600077,
viol_2019,2019,violations,M1,zinb1_re,ZI-NB1 + ZI-RE,True,intercept,True,|zi_intercept| > 15; se(zi_intercept) > 100; loglik matches non-ZI counterpart within 1e-4,,False,394,50,9,2479.9853355901,2519.7488446831,-1229.992667795,10,97.83172427440013,False,10,43.172,0.21729315718,NA/NaN function evaluation
viol_2019,2019,violations,M1,zinb2_re,ZI-NB2 + ZI-RE,False,intercept,True,|zi_intercept| > 15,,False,394,50,9,,,,10,,False,10,29.6625,0.17510033392,
viol_2019,2019,violations,M3,poisson,Poisson,True,,False,,,True,378,47,9,2840.1853734198,2891.3389979629,-1407.0926867099,13,523.5106077252999,False,7,18.243,0.12363704364,NA/NaN function evaluation
viol_2019,2019,violations,M3,nbinom1,NB1,True,,False,,,True,378,47,9,2402.710079175,2457.7985979137,-1187.3550395875,14,86.03531348050001,False,7,35.855,0.16517151181,NA/NaN function evaluation
