state,year,spending_nominal,cpi_deflator,spending_2017,spending_2017m
Alabama,2011,646300,1.089717656786951,704284.5215814065,0.7042845215814064
Alabama,2012,49756,1.0676237183898534,53120.685732205544,0.05312068573220555
Alabama,2013,920000,1.0522113523096537,968034.4441248814,0.9680344441248814
Alabama,2014,913291,1.0354149770208165,945635.1797783185,0.9456351797783185
Alabama,2015,73000,1.0341874211554445,75495.68174434744,0.07549568174434744
Alabama,2016,700000,1.0213035453132617,714912.4817192832,0.7149124817192831
Alaska,2011,302213,1.089717656786951,329326.84221055487,0.32932684221055486
Alaska,2012,311000,1.0676237183898534,332030.9764192444,0.33203097641924445
Alaska,2013,149180,1.0522113523096537,156968.88953755415,0.15696888953755414
Alaska,2015,69447,1.0341874211554445,71821.21383698215,0.07182121383698215
Alaska,2016,1018004,1.0213035453132617,1039691.0943430817,1.0396910943430817
Alaska,2017,8316,1.0,8316.0,0.008316
Arizona,2011,654728,1.089717656786951,713468.6619928069,0.7134686619928069
Arizona,2012,170000,1.0676237183898534,181496.03212627507,0.18149603212627508
Arizona,2013,250500,1.0522113523096537,263578.9437535682,0.2635789437535682
Arizona,2014,250000,1.0354149770208165,258853.74425520413,0.25885374425520413
Arizona,2015,0,1.0341874211554445,0.0,0.0
Arizona,2016,0,1.0213035453132617,0.0,0.0
Arkansas,2011,586515,1.089717656786951,639135.7514703986,0.6391357514703986
Arkansas,2012,700526,1.0676237183898534,747898.1729487705,0.7478981729487705
Arkansas,2013,252908,1.0522113523096537,266112.6686899299,0.2661126686899299
Arkansas,2014,433655,1.0354149770208165,449012.8818599622,0.4490128818599622
Arkansas,2015,532798,1.0341874211554445,551012.9896167786,0.5510129896167786
Arkansas,2016,557876,1.0213035453132617,569760.7366451812,0.5697607366451812
Arkansas,2017,509359,1.0,509359.0,0.509359
Arkansas,2018,529646,0.9761575742611716,517017.9545771325,0.5170179545771325
Arkansas,2019,518715,0.9587846215828238,497335.9649843345,0.49733596498433447
California,2011,2558766,1.089717656786951,2788332.4897861197,2.7883324897861197
California,2012,2786276,1.0676237183898534,2974694.343580407,2.974694343580407
California,2013,606492,1.0522113523096537,638157.7674849865,0.6381577674849864
California,2014,588426,1.0354149770208165,609265.0932684509,0.6092650932684509
California,2015,288721,1.0341874211554445,298591.6264234211,0.2985916264234211
California,2016,0,1.0213035453132617,0.0,0.0
California,2017,390000,1.0,390000.0,0.39
California,2018,525000,0.9761575742611716,512482.7264871151,0.5124827264871151
California,2019,698000,0.9587846215828238,669231.665864811,0.6692316658648111
