year,time,time2,time3,predicted_inspections,actual_mean
2011,-6,36,-216,28.508926905825945,28.65909090909091
2012,-5,25,-125,29.782490088929237,33.425
2013,-4,16,-64,30.306786249040336,29.93548387096774
2014,-3,9,-27,30.17816795783714,29.258064516129032
2015,-2,4,-8,29.492987786997574,29.133333333333333
2016,-1,1,-1,28.34759830819953,26.40625
2017,0,0,0,26.838352093120932,21.555555555555557
2018,1,1,1,25.061601713439686,20.08
2019,2,4,8,23.113699740833702,20.227272727272727
