model,transform,n_obs,n_states,pseudo_r2_pct,shapiro_w,shapiro_p,resid_skew,resid_kurtosis,bp_r2,b__SPEND_APP_z,p__SPEND_APP_z,b__SPEND_WORK_z,p__SPEND_WORK_z,b__lii_2017_z,p__lii_2017_z,b__h2a_per_farmworker_z,p__h2a_per_farmworker_z,b__dol_demand_met_pct_z,p__dol_demand_met_pct_z,b__pct_flc_z,p__pct_flc_z,b__SPEND_AREA_z,p__SPEND_AREA_z,b__pct_flc_z:time,p__pct_flc_z:time
baseline_cubic,raw,394,50,0.0,0.7192669216402519,3.3350786779342122e-25,4.447545168629126,47.502421149340115,0.11495881393383567,,,,,,,,,,,,,,,,
baseline_cubic,log,394,50,0.0,0.9942273321630951,0.14246902777049172,0.039857162426820456,0.40811633882487675,0.0003070920193076754,,,,,,,,,,,,,,,,
baseline_cubic,sqrt,394,50,0.0,0.944784567127968,6.028986217943334e-11,1.0658796208410755,5.696460340914115,0.09765711970081414,,,,,,,,,,,,,,,,
baseline_cubic,anscombe,394,50,0.0,0.9369858866518899,7.253652703079064e-12,1.1719592041694793,6.433012931646864,0.10902393242341668,,,,,,,,,,,,,,,,
baseline_cubic,boxcox,394,50,0.0,0.9931172810344344,0.06844184532207678,-0.10677892946052946,0.48936601961626636,0.006052211823056597,,,,,,,,,,,,,,,,
zim_spend_app,raw,335,41,0.9857193081398588,0.7436208216911533,1.9965869305850576e-22,4.132720854982928,40.87685596991769,0.11079224295213697,-2.8512222515792707,0.04134409855803618,,,,,,,,,,,,,,
zim_spend_app,log,335,41,60.5420281368678,0.9976354480678096,0.9172278983252761,-0.07622868254611544,0.09649746194588982,0.0006452558301344169,-0.36164918888250075,0.0009561130066587315,,,,,,,,,,,,,,
zim_spend_app,sqrt,335,41,20.029766134027525,0.9560161495876626,1.7795660615958846e-08,0.972678122325122,4.69562042463303,0.10493628304511449,-0.5026050062606784,0.004343272868144473,,,,,,,,,,,,,,
zim_spend_app,anscombe,335,41,19.530166552799656,0.9521171324077181,5.587260535549506e-09,1.04535952495383,5.137675334912828,0.1134762630603573,-0.9448211675888566,0.0054609696926849055,,,,,,,,,,,,,,
zim_spend_app,boxcox,335,41,21.713279179141644,0.9945948281316146,0.2862745665636132,-0.21556730634009344,0.20920521134896575,0.0062995382775874464,-0.2956092910530665,0.0007537285105098756,,,,,,,,,,,,,,
zim_spend_work,raw,355,44,27.74918202021994,0.7252159184887149,8.943429915930454e-24,4.377486815407771,45.37758773033851,0.11126050241756646,,,-2.8886753019048563,0.021865056998475768,,,,,,,,,,,,
zim_spend_work,log,355,44,58.22077183799579,0.9973524377320842,0.8415180771628186,-0.02033922578067913,0.14560246989344972,0.003653041165404991,,,-0.41322779869208537,9.28030123164458e-05,,,,,,,,,,,,
zim_spend_work,sqrt,355,44,54.121004357893874,0.952430883698639,2.701908571025597e-09,1.01878650779153,5.252651120305025,0.11089292555108188,,,-0.5426455226693577,0.0009637379450439062,,,,,,,,,,,,
zim_spend_work,anscombe,355,44,53.384848404412146,0.9480383267602648,7.553157468427744e-10,1.091923339236362,5.7645414421043615,0.11920606080404805,,,-1.0058451148800411,0.001507152621287096,,,,,,,,,,,,
zim_spend_work,boxcox,355,44,58.87967977192137,0.9957429826088221,0.4510241911866437,-0.13993708773181798,0.18699253149556183,0.0016917685729871401,,,-0.34744404993465583,4.544522437230836e-05,,,,,,,,,,,,
zim_lii,raw,394,50,-14.107281103537419,0.7213821129987483,4.020366914474524e-25,4.380363091506914,47.17042820418772,0.11630666279641289,,,,,-0.3177433391419775,0.8037774766096943,,,,,,,,,,
zim_lii,log,394,50,0.556555621491422,0.9943570875793302,0.15499681712542154,0.03425926596874655,0.40807778948479223,0.0003278896018499289,,,,,-0.16229993535176618,0.34389806160310077,,,,,,,,,,
zim_lii,sqrt,394,50,-14.789856621267553,0.9421377113809876,2.8780654513200788e-11,1.0845888726256683,5.8140870705809,0.09313658377723721,,,,,-0.21640308901572317,0.46810501519579795,,,,,,,,,,
zim_lii,anscombe,394,50,0.239382888475712,0.9370773755298425,7.428469274420831e-12,1.1711296161250446,6.433200508237894,0.10893551882582775,,,,,-0.235734535127142,0.607136407331111,,,,,,,,,,
zim_lii,boxcox,394,50,49.013713472201026,0.99407577565079,0.12904572891546792,-0.21060102330909275,0.07241951113944989,0.0024364192690311537,,,,,-0.10321083227250456,0.27940560787252033,,,,,,,,,,
zim_h2a,raw,375,47,0.07100538362518942,0.7187149738860603,1.200703243615188e-24,4.399744635986426,47.00816951852294,0.11631556253422293,,,,,,,0.12041827365211345,0.9193926878357314,,,,,,,,
zim_h2a,log,375,47,1.9049045816588328,0.9954569722835106,0.34689426012309094,0.0033776360007396564,0.3253458826299065,0.0012006899234230373,,,,,,,-0.09577318022424496,0.5662002979732141,,,,,,,,
zim_h2a,sqrt,375,47,0.3898478630167598,0.9443993095555276,1.1833569353088497e-10,1.0629826904225324,5.927868897489551,0.10135472712800175,,,,,,,-0.0668380028131899,0.7712503673648019,,,,,,,,
zim_h2a,anscombe,375,47,0.3646437712162604,0.9374094141373528,1.8407045018214286e-11,1.1576432235311658,6.615579314616539,0.1115969893937736,,,,,,,-0.12061789045501367,0.7578578599713048,,,,,,,,
zim_h2a,boxcox,375,47,-10.515042715387464,0.9921510476051413,0.04543070652442495,-0.08363977302072577,0.6012745216205593,0.004811488925718144,,,,,,,-0.11855533191716107,0.39830853677020195,,,,,,,,
zim_demandmet,raw,394,50,-13.275366773929754,0.7209348483458209,3.8642444134112316e-25,4.388945191192472,47.216775134657624,0.11641616257901721,,,,,,,,,0.2917979601102651,0.7964509744599654,,,,,,
zim_demandmet,log,394,50,0.22288871009944355,0.994178626318218,0.13801738607162958,0.04093066008797483,0.411716650255439,0.00030253470514274294,,,,,,,,,-0.08542981316170643,0.6168331873453071,,,,,,
zim_demandmet,sqrt,394,50,-0.19631581599077616,0.9447274233252247,5.932076423817276e-11,1.067174630055593,5.7015703993452735,0.09751308620677135,,,,,,,,,-0.029211547730919614,0.9021426655737169,,,,,,
zim_demandmet,anscombe,394,50,-0.2593332219334631,0.936978174052278,7.239112464457144e-12,1.1724466982045891,6.434635059397939,0.1089428589414988,,,,,,,,,-0.028046698013341722,0.949750270841766,,,,,,
zim_demandmet,boxcox,394,50,47.366460638404654,0.9940684170904962,0.12842553662946282,-0.20250884007253173,0.06985697235968491,0.0025400244175286524,,,,,,,,,-0.026479945114361077,0.7825878603354222,,,,,,
zim_flc,raw,394,50,6.026754531023583,0.7208527768099828,3.836282306630118e-25,4.444373538269207,47.49327701039875,0.11264948983239387,,,,,,,,,,,2.046383590443953,0.08195478820582329,,,,
zim_flc,log,394,50,61.98560310564901,0.9975530930408629,0.834372347452044,-0.052531998586297535,0.07637713914473432,0.0024631685181182306,,,,,,,,,,,0.39300923040899505,0.00015781088029373727,,,,
zim_flc,sqrt,394,50,52.95432217287749,0.9533598253091268,7.836829210037271e-10,1.0008848440746356,5.039204064689033,0.10775341822956919,,,,,,,,,,,0.4590194641303313,0.004571082368413346,,,,
zim_flc,anscombe,394,50,52.39345910548813,0.9468225534652449,1.0823512013811539e-10,1.1078019647964865,5.713619595966849,0.11925823438769378,,,,,,,,,,,0.845782752121394,0.00616740356145576,,,,
zim_flc,boxcox,394,50,63.28709361519961,0.9944221984746664,0.16166457462650227,-0.1984584666065403,0.11845586282095333,0.002868511687019404,,,,,,,,,,,0.33434566482855577,6.456546880438251e-05,,,,
spend_combined,raw,320,39,16.65734718805272,0.7382462483910324,3.8765943531717363e-22,4.20049989366173,41.344774118893945,0.1080175264900306,-2.3542148802551046,0.14138918300086065,-2.3771816288413734,0.08733736808880109,,,,,,,,,,,,
spend_combined,log,320,39,62.45181489637444,0.9970035782381179,0.8217165511230883,-0.05477406181362626,0.2266646310465723,0.001397983082415788,-0.28531050488234044,0.02441372612368518,-0.32389466424025315,0.0038239607677472568,,,,,,,,,,,,
spend_combined,sqrt,320,39,65.13326373378999,0.9524549966370348,1.1562580371072855e-08,1.0182006781759507,5.202026077877212,0.10332244131784496,-0.40498370366347375,0.046761449738809586,-0.44669085214860627,0.01215417983655176,,,,,,,,,,,,
spend_combined,anscombe,320,39,64.76349976134075,0.9489550044754667,4.355738221790529e-09,1.0834548255980854,5.637120677145306,0.11056750389671344,-0.7781035990652914,0.048334405683710974,-0.8348525775229202,0.015398581442821635,,,,,,,,,,,,
spend_combined,boxcox,320,39,62.6374419686731,0.9945671027727916,0.3159001239276405,-0.17592402513107558,0.3303065610668998,0.004088136758940486,-0.22729400509284078,0.02521944889382947,-0.2696892255493248,0.002686295376141984,,,,,,,,,,,,
targeted_fifra,raw,320,39,13.72638841411197,0.7346970516969353,2.8481967799424184e-22,4.235456684609935,41.89572705175254,0.10834799511466287,-2.9474718840637237,0.11179909115473172,-2.7475194763886814,0.0730431331169601,,,,,,,,,1.220568828353418,0.46182842232785015,,
