year,time,time2,time3,predicted_violations,actual_mean
2011,-6,36,-216,8.538281327518803,7.17948717948718
2012,-5,25,-125,5.114060852580074,9.117647058823529
2013,-4,16,-64,4.811616273453366,6.28
2014,-3,9,-27,6.753283889488194,6.458333333333333
2015,-2,4,-8,10.061400000034078,6.3
2016,-1,1,-1,13.858300904440538,16.03448275862069
2017,0,0,0,17.266322902057098,17.84
2018,1,1,1,19.40780229223327,10.826086956521738
2019,2,4,8,19.405075374318585,12.904761904761905
