cell,model,zi_family,zi_family_label,plain_family,plain_family_label,is_own_counterpart,zi_tier_reached,n_obs,aic_zi,aic_plain,margin,zi_wins
insp_2021,M3,zinb1,ZI-NB1,poisson,Poisson,False,intercept,506,4770.9309173426,9578.0550404034,4807.1241230608,True
insp_2021,M3,zinb1,ZI-NB1,nbinom1,NB1,True,intercept,506,4770.9309173426,4771.5327628649,0.6018455223002093,True
insp_2021,M3,zinb1,ZI-NB1,nbinom2,NB2,False,intercept,506,4770.9309173426,4620.8256851708,-150.1052321717998,False
insp_2021,M3,zinb2,ZI-NB2,poisson,Poisson,False,mirror,506,4585.7253936399,9578.0550404034,4992.3296467635,True
insp_2021,M3,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,506,4585.7253936399,4771.5327628649,185.807369225,True
insp_2021,M3,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,506,4585.7253936399,4620.8256851708,35.100291530899995,True
insp_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,poisson,Poisson,False,mirror,506,4587.725255773,9578.0550404034,4990.3297846304,True
insp_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom1,NB1,False,mirror,506,4587.725255773,4771.5327628649,183.80750709190033,True
insp_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom2,NB2,True,mirror,506,4587.725255773,4620.8256851708,33.100429397800326,True
viol_2021,M1,zip,ZIP,poisson,Poisson,True,mirror,533,6450.8645228623,7118.9777912397,668.1132683774003,True
viol_2021,M1,zip,ZIP,nbinom1,NB1,False,mirror,533,6450.8645228623,3896.7836785106,-2554.0808443517,False
viol_2021,M1,zip,ZIP,nbinom2,NB2,False,mirror,533,6450.8645228623,3903.4848785089,-2547.3796443534,False
viol_2021,M1,zinb1,ZI-NB1,poisson,Poisson,False,mirror,533,3885.6634261689,7118.9777912397,3233.3143650708002,True
viol_2021,M1,zinb1,ZI-NB1,nbinom1,NB1,True,mirror,533,3885.6634261689,3896.7836785106,11.120252341700052,True
viol_2021,M1,zinb1,ZI-NB1,nbinom2,NB2,False,mirror,533,3885.6634261689,3903.4848785089,17.821452339999723,True
viol_2021,M1,zinb2,ZI-NB2,poisson,Poisson,False,mirror,533,3826.0873211952,7118.9777912397,3292.8904700445005,True
viol_2021,M1,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,533,3826.0873211952,3896.7836785106,70.69635731540029,True
viol_2021,M1,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,533,3826.0873211952,3903.4848785089,77.39755731369996,True
viol_2021,M1,zinb2_re,ZI-NB2 + ZI-RE,poisson,Poisson,False,mirror,533,3791.910103862,7118.9777912397,3327.0676873777,True
viol_2021,M1,zinb2_re,ZI-NB2 + ZI-RE,nbinom1,NB1,False,mirror,533,3791.910103862,3896.7836785106,104.87357464859997,True
viol_2021,M1,zinb2_re,ZI-NB2 + ZI-RE,nbinom2,NB2,True,mirror,533,3791.910103862,3903.4848785089,111.57477464689964,True
viol_2021,M3,zip,ZIP,poisson,Poisson,True,mirror,501,6124.2702238108,6763.6679493136,639.3977255027994,True
viol_2021,M3,zip,ZIP,nbinom1,NB1,False,mirror,501,6124.2702238108,3684.0731893734,-2440.1970344374004,False
viol_2021,M3,zip,ZIP,nbinom2,NB2,False,mirror,501,6124.2702238108,3690.6521128864,-2433.6181109244003,False
viol_2021,M3,zinb1,ZI-NB1,poisson,Poisson,False,reduced,501,3678.5849483807,6763.6679493136,3085.0830009328997,True
viol_2021,M3,zinb1,ZI-NB1,nbinom1,NB1,True,reduced,501,3678.5849483807,3684.0731893734,5.488240992699957,True
viol_2021,M3,zinb1,ZI-NB1,nbinom2,NB2,False,reduced,501,3678.5849483807,3690.6521128864,12.06716450570002,True
viol_2021,M3,zinb2,ZI-NB2,poisson,Poisson,False,mirror,501,3607.1247520987,6763.6679493136,3156.5431972149,True
viol_2021,M3,zinb2,ZI-NB2,nbinom1,NB1,False,mirror,501,3607.1247520987,3684.0731893734,76.94843727470015,True
viol_2021,M3,zinb2,ZI-NB2,nbinom2,NB2,True,mirror,501,3607.1247520987,3690.6521128864,83.52736078770022,True
viol_2021,M3,zinb1_re,ZI-NB1 + ZI-RE,poisson,Poisson,False,reduced,501,3680.5849489425,6763.6679493136,3083.0830003711,True
viol_2021,M3,zinb1_re,ZI-NB1 + ZI-RE,nbinom1,NB1,True,reduced,501,3680.5849489425,3684.0731893734,3.4882404309000776,True
viol_2021,M3,zinb1_re,ZI-NB1 + ZI-RE,nbinom2,NB2,False,reduced,501,3680.5849489425,3690.6521128864,10.067163943900141,True
viol_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,poisson,Poisson,False,mirror,501,3592.0517829399,6763.6679493136,3171.6161663737,True
viol_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom1,NB1,False,mirror,501,3592.0517829399,3684.0731893734,92.02140643350003,True
viol_2021,M3,zinb2_re,ZI-NB2 + ZI-RE,nbinom2,NB2,True,mirror,501,3592.0517829399,3690.6521128864,98.6003299465001,True
