state,year,spending_nominal
Minnesota,2012,20832982.0
Minnesota,2013,13891537.0
Minnesota,2014,16729238.0
Minnesota,2015,16738220.0
Minnesota,2016,15933945.0
Minnesota,2017,16202482.0
Minnesota,2018,16561785.0
Minnesota,2019,17124273.0
Mississippi,2011,8311308.0
Mississippi,2012,7296649.0
Mississippi,2013,7074322.0
Mississippi,2014,9370888.0
Mississippi,2015,7759251.0
Mississippi,2016,7593834.0
Mississippi,2017,9048066.0
Mississippi,2018,7847150.0
Mississippi,2019,6296784.0
Missouri,2011,13479667.0
Missouri,2012,18486786.0
Missouri,2013,11621688.0
Missouri,2014,14113404.0
Missouri,2015,13113105.0
Missouri,2016,14209370.0
Missouri,2017,7726223.0
Missouri,2018,14805285.0
Missouri,2019,10541390.0
Montana,2011,10770316.0
Montana,2012,10186726.0
Montana,2013,11405071.0
Montana,2014,10954113.0
Montana,2015,10253299.0
Montana,2016,10795970.0
Montana,2017,9722972.0
Montana,2018,12069921.0
Montana,2019,9964517.0
Nebraska,2011,4730894.0
Nebraska,2012,6698132.0
Nebraska,2013,4811151.0
Nebraska,2014,5764767.0
Nebraska,2015,5406440.0
Nebraska,2016,5990979.0
Nebraska,2017,5528513.0
Nebraska,2018,5586426.0
Nebraska,2019,5289022.0
Nevada,2011,2739607.0
Nevada,2012,3911906.0
Nevada,2013,2770458.0
Nevada,2014,2996510.0
Nevada,2015,3485455.0
Nevada,2016,2895633.0
Nevada,2017,3056356.0
Nevada,2018,3085327.0
Nevada,2019,2657096.0
New Hampshire,2011,5686976.0
New Hampshire,2012,6015085.0
New Hampshire,2013,7946748.0
New Hampshire,2014,5749763.0
New Hampshire,2015,6206439.0
New Hampshire,2016,8391889.0
New Hampshire,2017,7125174.0
New Hampshire,2018,5158082.0
New Hampshire,2019,6510003.0
New Jersey,2011,25094613.0
New Jersey,2012,15096914.0
New Jersey,2013,20151527.0
New Jersey,2014,17653424.0
New Jersey,2015,18780705.0
New Jersey,2016,19785367.0
New Jersey,2017,19357022.0
New Jersey,2018,18073055.0
New Jersey,2019,21022444.0
New Mexico,2011,690714.0
New Mexico,2012,1300526.0
New Mexico,2013,235687.0
New Mexico,2014,1352679.0
New Mexico,2015,879735.0
New Mexico,2016,2066047.0
New Mexico,2017,1212966.0
New Mexico,2018,1265970.0
New Mexico,2019,1780194.0
New York,2011,21832437.0
New York,2012,15421062.0
New York,2013,15223655.0
New York,2014,14476701.0
New York,2015,12361910.0
New York,2016,17166908.0
New York,2017,12854373.0
New York,2018,18074027.0
New York,2019,14060903.0
North Carolina,2011,2513127.0
North Carolina,2012,3319649.0
North Carolina,2013,3223735.0
North Carolina,2014,4765302.0
North Carolina,2015,103257.0
North Carolina,2016,3848867.0
North Carolina,2017,3233921.0
North Carolina,2018,755402.0
North Carolina,2019,1740755.0
North Dakota,2011,6117066.0
North Dakota,2012,4973838.0
North Dakota,2013,6213953.0
North Dakota,2014,4843198.0
North Dakota,2015,4954865.0
North Dakota,2016,5412082.0
North Dakota,2017,4565192.0
North Dakota,2018,6444261.0
North Dakota,2019,5940550.0
Ohio,2011,1308577.0
Ohio,2012,11123246.0
Ohio,2013,15996775.0
